,Year,Film,Nominees,FilmLink,Won
111,1951 (24th),Rooty Toot Toot,Stephen Bosustow,/wiki/Rooty_Toot_Toot,False
112,1952 (25th),,,,False
113,1952 (25th),Johann Mouse,Fred Quimby,/wiki/Johann_Mouse,True
114,1952 (25th),Little Johnny Jet,Fred Quimby,/wiki/Little_Johnny_Jet,False
115,1952 (25th),Madeline,Stephen Bosustow,/wiki/Madeline#In_film,False
116,1952 (25th),Pink and Blue Blues,Stephen Bosustow,,False
117,1952 (25th),Romance of Transportation,Tom Daly,/wiki/The_Romance_of_Transportation_in_Canada,False
118,1953 (26th),,,,False
119,1953 (26th),"Toot, Whistle, Plunk and Boom",Walt Disney,"/wiki/Toot,_Whistle,_Plunk_and_Boom",True
120,1953 (26th),Christopher Crumpet,Stephen Bosustow,,False
121,1953 (26th),From A to Z-Z-Z-Z,Edward Selzer,/wiki/From_A_to_Z-Z-Z-Z,False
122,1953 (26th),Rugged Bear,Walt Disney,/wiki/Rugged_Bear,False
123,1953 (26th),The Tell-Tale Heart,Stephen Bosustow,/wiki/The_Tell-Tale_Heart_(1953_American_film),False
124,1954 (27th),,,,False
125,1954 (27th),When Magoo Flew,Stephen Bosustow,/wiki/When_Magoo_Flew,True
126,1954 (27th),Crazy Mixed Up Pup,Walter Lantz,/wiki/Crazy_Mixed_Up_Pup,False
127,1954 (27th),Pigs Is Pigs,Walt Disney,/wiki/Pigs_Is_Pigs_(1954_film),False
128,1954 (27th),Sandy Claws,Edward Selzer,/wiki/Sandy_Claws_(film),False
129,1954 (27th),"Touché, Pussy Cat!",Fred Quimby,,False
130,1955 (28th),,,,False
131,1955 (28th),Speedy Gonzales,Edward Selzer,/wiki/Speedy_Gonzales_(film),True
132,1955 (28th),Good Will to Men,"Fred Quimby, William Hanna & Joseph Barbera",/wiki/Peace_on_Earth_(film)#Remake,False
133,1955 (28th),The Legend of Rockabye Point,Walter Lantz,/wiki/The_Legend_of_Rockabye_Point,False
134,1955 (28th),No Hunting,Walt Disney,/wiki/No_Hunting,False
135,1956 (29th),,,,False
136,1956 (29th),Magoo's Puddle Jumper,Stephen Bosustow,/wiki/Magoo%27s_Puddle_Jumper,True
137,1956 (29th),Gerald McBoing-Boing on Planet Moo,Stephen Bosustow,,False
138,1956 (29th),The Jaywalker,Stephen Bosustow,,False
139,1957 (30th),,,,False
140,1957 (30th),Birds Anonymous,Edward Selzer,/wiki/Birds_Anonymous,True
141,1957 (30th),One Droopy Knight,William Hanna & Joseph Barbera,/wiki/One_Droopy_Knight,False
142,1957 (30th),Tabasco Road,Edward Selzer,/wiki/Tabasco_Road,False
143,1957 (30th),Trees and Jamaica Daddy,Stephen Bosustow,,False
144,1957 (30th),The Truth About Mother Goose,Walt Disney,/wiki/The_Truth_About_Mother_Goose,False
145,1958 (31st),,,,False
146,1958 (31st),Knighty Knight Bugs,John W. Burton,/wiki/Knighty_Knight_Bugs,True
147,1958 (31st),Paul Bunyan,Walt Disney,/wiki/Paul_Bunyan_(film),False
148,1958 (31st),Sidney's Family Tree,William M. Weiss,,False
149,1959 (32nd),,,,False
150,1959 (32nd),Moonbird,John Hubley,/wiki/Moonbird,True
151,1959 (32nd),Mexicali Shmoes,John W. Burton,/wiki/Mexicali_Shmoes,False
152,1959 (32nd),Noah's Ark,Walt Disney,,False
153,1959 (32nd),The Violinist,Ernest Pintoff,,False
154,1960 (33rd),,,,False
155,1960 (33rd),Munro,William L. Snyder,/wiki/Munro_(film),True
156,1960 (33rd),Goliath II,Walt Disney,/wiki/Goliath_II,False
157,1960 (33rd),High Note,Warner Bros.,/wiki/High_Note_(film),False
158,1960 (33rd),Mouse and Garden,Warner Bros.,/wiki/Mouse_and_Garden,False
159,1960 (33rd),A Place in the Sun,František Vystrčil,,False
160,1961 (34th),,,,False
161,1961 (34th),Ersatz,Zagreb Film,/wiki/Surogat,True
162,1961 (34th),Aquamania,Walt Disney,/wiki/Aquamania,False
163,1961 (34th),Beep Prepared,Chuck Jones,/wiki/Beep_Prepared,False
164,1961 (34th),Nelly's Folly,Chuck Jones,/wiki/Nelly%27s_Folly,False
165,1961 (34th),The Pied Piper of Guadalupe,Friz Freleng,/wiki/The_Pied_Piper_of_Guadalupe,False
166,1962 (35th),,,,False
167,1962 (35th),The Hole,Faith & John Hubley,/wiki/The_Hole_(1962_film),True
168,1962 (35th),Icarus Montgolfier Wright,Jules Engel,,False
169,1962 (35th),Now Hear This,Warner Bros.,/wiki/Now_Hear_This_(film),False
170,1962 (35th),Self Defense—For Cowards,William L. Snyder,,False
171,1962 (35th),A Symposium on Popular Songs,Walt Disney,/wiki/A_Symposium_on_Popular_Songs,False
172,1963 (36th),,,,False
173,1963 (36th),The Critic,Ernest Pintoff,/wiki/The_Critic_(1963_film),True
174,1963 (36th),Automania 2000,John Halas,,False
175,1963 (36th),The Game (Igra),Dušan Vukotić,,False
176,1963 (36th),My Financial Career,Tom Daly & Colin Low,/wiki/My_Financial_Career,False
177,1963 (36th),Pianissimo,Carmen D'Avino,/wiki/Carmen_D%27Avino,False
178,1964 (37th),,,,False
179,1964 (37th),The Pink Phink,David H. DePatie & Friz Freleng,/wiki/The_Pink_Phink,True
180,1964 (37th),Christmas Cracker,National Film Board of Canada,/wiki/Christmas_Cracker_(film),False
181,1964 (37th),Here's Nudnik,William L. Snyder,,False
182,1964 (37th),How to Avoid Friendship,William L. Snyder,,False
183,1965 (38th),,,,False
184,1965 (38th),The Dot and the Line,Les Goldman & Chuck Jones,/wiki/The_Dot_and_the_Line,True
185,1965 (38th),Clay or The Origin of Species,Eli Noyes,/wiki/Eli_Noyes,False
186,1965 (38th),The Thieving Magpie,Emanuele Luzzati,,False
187,1966 (39th),,,,False
188,1966 (39th),A Herb Alpert and the Tijuana Brass Double Feature,Faith & John Hubley,/wiki/A_Herb_Alpert_and_the_Tijuana_Brass_Double_Feature,True
189,1966 (39th),The Drag,Wolf Koenig & Robert Verrall,/wiki/The_Drag_(film),False
190,1966 (39th),The Pink Blueprint,David H. DePatie & Friz Freleng,/wiki/The_Pink_Blueprint,False
191,1967 (40th),,,,False
192,1967 (40th),The Box,Fred Wolf,/wiki/The_Box_(1967_film),True
193,1967 (40th),Hypothese Beta,Jean-Charles Meunier,,False
194,1967 (40th),What on Earth!,Robert Verrall & Wolf Koenig,/wiki/What_on_Earth!_(film),False
195,1968 (41st),,,,False
196,1968 (41st),Winnie the Pooh and the Blustery Day,Walt Disney (p.n.),/wiki/Winnie_the_Pooh_and_the_Blustery_Day,True
197,1968 (41st),The House That Jack Built,Wolf Koenig & Jim MacKay,/wiki/The_House_That_Jack_Built_(1967_film),False
198,1968 (41st),The Magic Pear Tree,Jimmy Murakami,,False
199,1968 (41st),Windy Day,Faith & John Hubley,,False
200,1969 (42nd),,,,False
201,1969 (42nd),It's Tough to Be a Bird,Ward Kimball,/wiki/It%27s_Tough_to_Be_a_Bird,True
202,1969 (42nd),Of Men and Demons,Faith & John Hubley,,False
203,1969 (42nd),Walking,Ryan Larkin,/wiki/Walking_(1968_film),False
204,1970 (43rd),,,,False
205,1970 (43rd),Is It Always Right to Be Right?,Nick Bosustow,/wiki/Is_It_Always_Right_to_Be_Right%3F,True
206,1970 (43rd),The Further Adventures of Uncle Sam,Dale Case & Robert Mitchell,/wiki/The_Further_Adventures_of_Uncle_Sam,False
207,1970 (43rd),The Shepherd,Cameron Guess,,False
208,1971 (44th),,,,False
209,1971 (44th),The Crunch Bird,Ted Petok,/wiki/The_Crunch_Bird,True
210,1971 (44th),Evolution,Michael Mills,/wiki/Evolution_(1971_film),False
