,Directed by,Written by,Screenplay by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Productioncompany,Distributed by,Release dates,Running time,Country,Languages,Budget,Box office,Title,Based on,Language,Release date,Color process,Productioncompanies,Countries,Narrated by,Adaptation by,Suggested by,Narration by,Traditional Chinese,Simplified Chinese,Hanyu Pinyin,Hangul,Hanja,Revised Romanization,McCune–Reischauer,Kana,Revised Hepburn,French,Dialogue by,Literally,Country of origin,Original language,Producer,Release,Brazilian Portuguese,Polish,Danish,Native name,Born,Died,Occupation,Nationality,Period,Created by,Alias,Affiliation,Spouse,Religion,Origin,Italian,First appearance,Last appearance,Portrayed by,Gender,Family,Children,Resting place,Education,Years active,Known for,Board member of,Partner,Relatives,Awards,Spanish,Full name,Tenure,Cause of death,Burial,Issue,House,Father,Mother,Signature,Venerated in,Beatified,Canonized,Feast,Patronage,Voiced by,Reign,Coronation,Predecessor,Successor,Regents,Alma mater,Notable work,Spouses,Portuguese,Occupation(s),Literal meaning,Jyutping,German,Animation by,Kanji,Theme song by,Trade name,Company type,Industry,Predecessors,Founded,Founders,Headquarters,Number of locations,Area served,Key people,Products,Number of employees,Parent,Divisions,Subsidiaries,Website,Founder,Defunct,Layouts by,Original title,Genre(s),Published in,Publication date,Backgrounds by,Author,Cover artist,Genre,Publisher,Media type,OCLC,Preceded by,Followed by,Illustrator,Published,Pages,Related,Original work,Book(s),Film(s),Short film(s),Animated series,Direct-to-video,Video game(s),Toy(s),Voices of,Theme music composer,Composer,Producers,Network,Author(s),Current status/schedule,Launch date,Syndicate(s),Preceded by,Editor,Production company,ISBN,No. of series,No. of episodes,Director,Distributor,Released,Runtime,Set in,Dewey Decimal,LC Class,Text,Executive producers,Original languages,Production companies,Directed by,Produced by,Written by,Music by,Studio,Licensed by,Developer,Designed by,Engine,Platform,Hebrew,Presented by,No. of seasons,Occupations,Length,Label,Music,Lyrics,Book,Productions,Recorded,Screen story by,Additional dialogue by,Dialogues by,Visual effects by,Original screenplay by,Katakana,Norwegian,Episode no.,Featured music,Editing by,Original air date,po,Russian,Executive producer,Production locations,Editors,Also known as,Opening theme,Production location,Romanian,Ukrainian,Arabic,Swedish
10,Alfred E. Green,,Julien Josephson,,"Jack L. Warner, , Darryl F. Zanuck","George Arliss, , Doris Lloyd, , David Torrence, , Joan Bennett",Lee Garmes,"Owen Marks,  (uncredited)",,Warner Bros.,Warner Bros.,,"90 minutes (1929 release), , 87 minutes (1934 re-release)",United States,,"$318,000, [1]","$1,498,000, [1]",https://en.wikipedia.org/wiki/Disraeli_(1929_film),"Disraeli,  (play), , by , Louis N. Parker",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
November 1, 1929 (1929-11-01)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Robert Z. Leonard,"Nick Grinde, , Zelda Sears, , John Meehan",,,Robert Z. Leonard,"Norma Shearer, , Chester Morris,  , ,  , Conrad Nagel",Norbert Brodine,Hugh Wynn,"Jack Yellen, , Milton Ager",,Metro-Goldwyn-Mayer,,84 mins.,United States,,,,https://en.wikipedia.org/wiki/The_Divorcee,"Ex-Wife, , 1929 novel, , by , Ursula Parrott",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
April 30, 1930 (1930-04-30) (United States)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Ernst Lubitsch,"Guy Bolton,  , (libretto)",,"Ernest Vajda,  , (film story)",Ernst Lubitsch,"Maurice Chevalier, , Jeanette MacDonald, , Lillian Roth, , Eugene Pallette",Victor Milner,Merrill G. White,"W. Franke Harling, , John Leipold, , Oscar Potoker, , Max Terr, , Songs:, , Victor Schertzinger,  , (music), , Clifford Grey,  , (lyrics)",Paramount Famous Lasky Corp.,Paramount Famous Lasky Corp.,"November 19, 1929 , (New York City), , January 18, 1930 , (US), [1]",107 minutes,United States,,,,https://en.wikipedia.org/wiki/The_Love_Parade,"Le Prince Consort, , c.1919 novel, , by , Leon Xanrof, , Jules Chancel",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Wesley Ruggles,,"Howard Estabrook, , Louis Sarecky",,"William LeBaron, , Louis Sarecky (assoc.), [1]","Richard Dix, , Irene Dunne",Edward Cronjager,William Hamilton,Max Steiner,RKO Radio Pictures,RKO Radio Pictures,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
January 26, 1931 (1931-01-26) (Premiere-New York City)[1]
February 9, 1931 (1931-02-09) (US)[1]
","124 minutes, [1]",United States,,"$1,433,000, [2]","$1,383,000, [2]",https://en.wikipedia.org/wiki/Cimarron_(1931_film),"Cimarron, , 1930 novel, , by , Edna Ferber",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Frank Lloyd,"Tom Barry, , Bradley King",,,,"Ann Harding, , Conrad Nagel, , Clive Brook, , Cecilia Loftus",John F. Seitz,"Margaret Clancey, [1]",Richard Fall and Carli Elinor,,Fox Film Corporation,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
February 20, 1931 (1931-02-20) (New York City)[2]
March 31, 1931 (1931-03-31) (U.S.)
","102 minutes, 9,188 ft., or 10 reels, [2]",United States,,,,https://en.wikipedia.org/wiki/East_Lynne_(1931_film),,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Lewis Milestone,,"Bartlett Cormack, , Charles Lederer",,"Lewis Milestone, , Howard Hughes","Adolphe Menjou, , Pat O'Brien, , Mary Brian, , Edward Everett Horton",Glen MacWilliams,W. Duncan Mansfield,,The Caddo Company,United Artists,,101 minutes,United States,,,"$700,000, [1]",https://en.wikipedia.org/wiki/The_Front_Page_(1931_film),"The Front Page,  , ,  by , Ben Hecht,  , ,  , Charles MacArthur",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
April 4, 1931 (1931-04-04)
",Black and white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Norman Taurog,"Norman McLeod, , Joseph L. Mankiewicz, , Don Marquis, , Sam Mintz",,,"Adolph Zukor, , Jesse L. Lasky, , B. P. Schulberg","Jackie Cooper, , Robert Coogan, , Mitzi Green, , Jackie Searl",Karl Struss,,John Leipold,,Paramount Pictures,,85 minutes,United States,,,,https://en.wikipedia.org/wiki/Skippy_(film),"Skippy, , comic strip, , by , Percy Crosby",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
April 5, 1931 (1931-04-05)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,W.S. Van Dyke,"Dale Van Every,  (adaptation), , John T. Neville,  (adaptation), , Cyril Hume,  (dialogue)",Richard Schayer,,"Irving Thalberg,  (uncredited)","Harry Carey, ,  , Edwina Booth, , Duncan Renaldo",Clyde De Vinna,Ben Lewis,James McKay,,Metro-Goldwyn-Mayer,,122 minutes,United States,,"$1.3 million, [1], [2]","$4.2 million (worldwide rentals), [2]",https://en.wikipedia.org/wiki/Trader_Horn_(1931_film),"Trader Horn, , 1927 book, , by , Alfred Aloysius Horn,  and Ethelreda Lewis",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
May 23, 1931 (1931-05-23) (United States)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Edmund Goulding,William A. Drake,,,Irving Thalberg,"Greta Garbo, , John Barrymore, , Joan Crawford, , Wallace Beery, , Lionel Barrymore, , Lewis Stone, , Jean Hersholt",William H. Daniels,Blanche Sewell,"William Axt, , Charles Maxwell",Metro-Goldwyn-Mayer,"Loew's, Inc.",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
April 12, 1932 (1932-04-12) (New York City, premiere)
April 29, 1932 (1932-04-29) (Los Angeles)
September 11, 1932 (1932-09-11) (US)
",112 minutes,United States,,"$750,000, [1]","$2,594,000, [2]",https://en.wikipedia.org/wiki/Grand_Hotel_(1932_film),"Grand Hotel, , 1930 play, , by William A. Drake and , Grand Hotel, , 1929 novel, , by , Vicki Baum",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,John Ford,Sidney Howard,,,Samuel Goldwyn,"Ronald Colman, , Helen Hayes, , Richard Bennett, , Myrna Loy",Ray June,Hugh Bennett,Alfred Newman,Samuel Goldwyn Productions,United Artists,,108 minutes,United States,,,"$1.25 million, [1]",https://en.wikipedia.org/wiki/Arrowsmith_(film),,English,"December 7, 1931,  (1931-12-07)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
