,Directed by,Written by,Screenplay by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Productioncompany,Distributed by,Release dates,Running time,Country,Languages,Budget,Box office,Title,Based on,Language,Release date,Color process,Productioncompanies,Countries,Narrated by,Adaptation by,Suggested by,Narration by,Traditional Chinese,Simplified Chinese,Hanyu Pinyin,Hangul,Hanja,Revised Romanization,McCune–Reischauer,Kana,Revised Hepburn,French,Dialogue by,Literally,Country of origin,Original language,Producer,Release,Brazilian Portuguese,Polish,Danish,Native name,Born,Died,Occupation,Nationality,Period,Created by,Alias,Affiliation,Spouse,Religion,Origin,Italian,First appearance,Last appearance,Portrayed by,Gender,Family,Children,Resting place,Education,Years active,Known for,Board member of,Partner,Relatives,Awards,Spanish,Full name,Tenure,Cause of death,Burial,Issue,House,Father,Mother,Signature,Venerated in,Beatified,Canonized,Feast,Patronage,Voiced by,Reign,Coronation,Predecessor,Successor,Regents,Alma mater,Notable work,Spouses,Portuguese,Occupation(s),Literal meaning,Jyutping,German,Animation by,Kanji,Theme song by,Trade name,Company type,Industry,Predecessors,Founded,Founders,Headquarters,Number of locations,Area served,Key people,Products,Number of employees,Parent,Divisions,Subsidiaries,Website,Founder,Defunct,Layouts by,Original title,Genre(s),Published in,Publication date,Backgrounds by,Author,Cover artist,Genre,Publisher,Media type,OCLC,Preceded by,Followed by,Illustrator,Published,Pages,Related,Original work,Book(s),Film(s),Short film(s),Animated series,Direct-to-video,Video game(s),Toy(s),Voices of,Theme music composer,Composer,Producers,Network,Author(s),Current status/schedule,Launch date,Syndicate(s),Preceded by,Editor,Production company,ISBN,No. of series,No. of episodes,Director,Distributor,Released,Runtime,Set in,Dewey Decimal,LC Class,Text,Executive producers,Original languages,Production companies,Directed by,Produced by,Written by,Music by,Studio,Licensed by,Developer,Designed by,Engine,Platform,Hebrew,Presented by,No. of seasons,Occupations,Length,Label,Music,Lyrics,Book,Productions,Recorded,Screen story by,Additional dialogue by,Dialogues by,Visual effects by,Original screenplay by,Katakana,Norwegian,Episode no.,Featured music,Editing by,Original air date,po,Russian,Executive producer,Production locations,Editors,Also known as,Opening theme,Production location,Romanian,Ukrainian,Arabic,Swedish
1427,Denis Villeneuve,Aaron Guzikowski,,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, Broderick JohnsonKira DavisAndrew A. KosoveAdam Kolbrenner",", 
Hugh Jackman
Jake Gyllenhaal
Viola Davis
Maria Bello
Terrence Howard
Melissa Leo
Paul Dano
",Roger A. Deakins,", Joel CoxGary D. Roach",Jóhann Jóhannsson,,"Warner Bros. Pictures, , (North America, Australia, Italy and Spain), , Summit Entertainment, , (International)",", 
August 30, 2013 (2013-08-30) (Telluride)
September 20, 2013 (2013-09-20) (United States)
","153 minutes, [1]",United States,,"$46 million, [2]","$122.1 million, [2]",https://en.wikipedia.org/wiki/Prisoners_(2013_film),,English,,,Alcon Entertainment8:38 ProductionsMadhouse Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428,Paweł Pawlikowski,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Rebecca Lenkiewicz
Paweł Pawlikowski
",,,", 
Eric Abraham
Piotr Dzięcioł
Ewa Puszczyńska
",", 
Agata Kulesza
Agata Trzebuchowska
Dawid Ogrodnik
",", 
Łukasz Żal
Ryszard Lenczewski
",Jarosław Kamiński,Kristian Eidnes Andersen,,", 
Solopan (Poland)
Memento Films (France)
Artificial Eye (UK)
",", 
7 September 2013 (2013-09-07) (TIFF)
11 September 2013 (2013-09-11) (Poland)
","82 minutes, [1]",,", 
Polish
French
Latin
","$2.6 million, [2]","$15.3 million, [2]",https://en.wikipedia.org/wiki/Ida_(film),,,,,"
Polish Film Institute
Canal+ Polska
Danish Film Institute
Eurimages

Andrea Occhipinti",", 
Poland
Denmark
France
United Kingdom
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1429,Mike Leigh,Mike Leigh,,,Georgina Lowe,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Timothy Spall
Dorothy Atkinson
Marion Bailey
Paul Jesson
Lesley Manville
Martin Savage
",Dick Pope,Jon Gregory,Gary Yershon,,"Entertainment One Films, [1],  (United Kingdom), , Diaphana Films (France), , Prokino Filmverleih (Germany)",", 
15 May 2014 (2014-05-15) (Cannes)[2]
31 December 2014 (2014-12-31) (United Kingdom)
","150 minutes, [3]",,,"£, 8.4 million, [citation needed]","$22.2 million, [4]",https://en.wikipedia.org/wiki/Mr._Turner,,English,,,"
Film4
Focus Features International
Lipsync Productions
Thin Man Films
Xofa Productions
",", 
United Kingdom
France
Germany
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430,Angelina Jolie,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, Coen brothersRichard LaGraveneseWilliam Nicholson",,,", 
Angelina Jolie
Matthew Baer
Erwin Stoff
Clayton Townsend
",", 
Jack O'Connell
Domhnall Gleeson
Miyavi
Garrett Hedlund
Finn Wittrock
",Roger Deakins,", Tim SquyresWilliam Goldenberg",Alexandre Desplat,,Universal Pictures,", 
November 17, 2014 (2014-11-17) (Sydney)
December 25, 2014 (2014-12-25) (United States)
","138 minutes, [1]",United States,,"$65 million, [2]","$163.4 million, [3]",https://en.wikipedia.org/wiki/Unbroken_(film),"Unbroken, , by , Laura Hillenbrand",English,,,Legendary PicturesJolie Pas3 Arts Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1431,Quentin Tarantino,Quentin Tarantino,,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Richard N. Gladstein
Stacey Sher
Shannon McIntosh
",", 
Samuel L. Jackson
Kurt Russell
Jennifer Jason Leigh
Walton Goggins
Demián Bichir
Tim Roth
Michael Madsen
Bruce Dern
James Parks
Channing Tatum
",Robert Richardson,Fred Raskin,Ennio Morricone,,"The Weinstein Company, [2]",", 
December 7, 2015 (2015-12-07) (Cinerama Dome)
December 25, 2015 (2015-12-25) (United States)
",", 
187 minutes (Roadshow)
168 minutes (General)
210 minutes (Extended Version)
","United States, [2]",,"$44–62 million, [6], [7]","$156.5 million, [6]",https://en.wikipedia.org/wiki/The_Hateful_Eight,,English,,,"
The Weinstein Company[1]
Shiny Penny[2]
FilmColony[2]
Double Feature Films[3][4]
Visiona Romantica, Inc.[5]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,Denis Villeneuve,Taylor Sheridan,,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, Basil IwanykEdward L. McDonnellMolly SmithThad LuckinbillTrent Luckinbill",", 
Emily Blunt
Benicio del Toro
Josh Brolin
Jon Bernthal
",Roger Deakins,Joe Walker,Jóhann Jóhannsson,,Lionsgate,", 
May 19, 2015 (2015-05-19) (Cannes)
September 18, 2015 (2015-09-18) (United States)
","121 minutes, [1]",United States,,"$30 million, [2]","$85 million, [3]",https://en.wikipedia.org/wiki/Sicario_(2015_film),,English,,,Black Label MediaThunder Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433,Martin Scorsese,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Jay Cocks
Martin Scorsese
",,", 
Martin Scorsese
Emma Tillinger Koskoff
Randall Emmett
Barbara De Fina
Gastón Pavlovich
Irwin Winkler
Vittorio Cecchi Gori
",", 
Andrew Garfield
Adam Driver
Tadanobu Asano
Ciarán Hinds
Liam Neeson
",Rodrigo Prieto,Thelma Schoonmaker,", 
Kim Allen Kluge
Kathryn Kluge
",,", 
Paramount Pictures (United States)
StudioCanal[2] (United Kingdom)
CatchPlay Films (Taiwan)
Gussi Cinema (Mexico)
",", 
November 29, 2016 (2016-11-29) (Pontifical Oriental Institute)
December 23, 2016 (2016-12-23) (United States)
January 1, 2017 (2017-01-01) (United Kingdom)
","161 minutes, [3]",,", EnglishJapanese","$40–50 million, [7], [8], [9]","$23.8 million, [10]",https://en.wikipedia.org/wiki/Silence_(2016_film),"Silence, , by , Shūsaku Endō",,,,"
SharpSword Films
AI Film
CatchPlay
IM Global
Verdi Productions[1]
YLK
Sikelia Productions
Fábrica de Cine
The Fyzz Facility
Emmett/Furla/Oasis Films
",", 
United States
Taiwan[4]
Mexico[5]
United Kingdom[6]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1434,Denis Villeneuve,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Hampton Fancher
Michael Green
",Hampton Fancher,", 
Andrew A. Kosove
Broderick Johnson
Bud Yorkin
Cynthia Sikes Yorkin
",", 
Ryan Gosling
Harrison Ford
Ana de Armas
Sylvia Hoeks
Robin Wright
Mackenzie Davis
Carla Juri
Lennie James
Dave Bautista
Jared Leto
",Roger Deakins,Joe Walker,", 
Hans Zimmer
Benjamin Wallfisch
",,", 
Warner Bros. Pictures (North America)[1]
Sony Pictures Releasing (International)[2][3]
",", 
October 3, 2017 (2017-10-03) (Dolby Theatre)
October 6, 2017 (2017-10-06) (United States)
","163 minutes, [4]","United States, [5]",,"$150–185,  , million, [6], [7], [8]","$267.7,  , million, [9]",https://en.wikipedia.org/wiki/Blade_Runner_2049,"Characters from , Do Androids Dream of Electric Sheep?, , by , Philip K. Dick",English,,,"
Alcon Entertainment[1]
Columbia Pictures[1]
Scott Free Productions[1]
Bud Yorkin Productions[1]
Torridon Films[1]
16:14 Entertainment[1]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,Dee Rees,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, Dee ReesVirgil Williams",,", Carl EffensonSally Jo EffensonCassian ElwesCharles KingChristopher LemoleKim RothTim Zajaros",", 
Carey Mulligan
Garrett Hedlund
Jason Clarke
Jason Mitchell
Mary J. Blige
Rob Morgan
Jonathan Banks
",Rachel Morrison,Mako Kamitsuna,Tamar-kali,,Netflix,", 
January 21, 2017 (2017-01-21) (Sundance)
November 17, 2017 (2017-11-17) (United States)
","134 minutes, [1]",United States,,"$10, [2], –$11.1 million, [3]","$117,344, [4]",https://en.wikipedia.org/wiki/Mudbound_(film),"Mudbound, , by , Hillary Jordan",English,,,Elevated FilmsJoule Films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1436,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Florian Henckel von Donnersmarck
Jan Mojto
Quirin Berg
Max Wiedemann
",", 
Tom Schilling
Sebastian Koch
Paula Beer
Saskia Rosendahl
Oliver Masucci
Ina Weisse
",Caleb Deschanel,Patricia Rommel,Max Richter,Buena Vista International,", 
Walt Disney Studios Motion Pictures
",", 
4 September 2018 (2018-09-04) (Venice)
3 October 2018 (2018-10-03) (Germany)
",188 minutes,Germany,", 
German
Russian
",,"$9 million, [1]",https://en.wikipedia.org/wiki/Never_Look_Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Werk ohne Autor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,Robert Eggers,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Robert Eggers
Max Eggers
",,,", 
Rodrigo Teixeira
Jay Van Hoy
Robert Eggers
Lourenço Sant'Anna
Youree Henley
",", 
Willem Dafoe
Robert Pattinson
",Jarin Blaschke,Louise Ford,Mark Korven,,", 
A24 (United States)
VVS Films (Canada)
",", 
May 19, 2019 (2019-05-19) (Cannes)
October 18, 2019 (2019-10-18) (United States)
","109 minutes, [1]",,,"$11 million, [4]","$18.3 million, [5]",https://en.wikipedia.org/wiki/The_Lighthouse_(2019_film),,English,,,"
A24
Regency Enterprises
RT Features
",", 
United States[2]
Canada[3]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,Paul Greengrass,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Paul Greengrass
Luke Davies
",,", 
Gary Goetzman
Gail Mutrux
Gregory Goodman
",", 
Tom Hanks
Helena Zengel
",Dariusz Wolski,William Goldenberg,"James Newton Howard, [1]",,", 
Universal Pictures (United States)
Netflix (International)
",,118 minutes,United States,", EnglishKiowaGerman","$38 million, [3]","$12.7 million, [4]",https://en.wikipedia.org/wiki/News_of_the_World_(film),"News of the World, , by , Paulette Jiles",,", 
December 25, 2020 (2020-12-25)
",,"
Universal Pictures
Perfect World Pictures
Playtone[2]
Pretty Pictures[2]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1439,Chloé Zhao,,Chloé Zhao,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Frances McDormand
Peter Spears
Mollye Asher
Dan Janvey
Chloé Zhao
",", 
Frances McDormand
David Strathairn
Linda May
Swankie
",Joshua James Richards,Chloé Zhao,Ludovico Einaudi,,"Searchlight Pictures, [1]",", 
September 11, 2020 (2020-09-11) (Venice)
February 19, 2021 (2021-02-19) (United States)
","108 minutes, [2]",United States,,"$5 million, [3], [4]","$39.5 million, [5], [6]",https://en.wikipedia.org/wiki/Nomadland_(film),"Nomadland: Surviving America in the Twenty-First Century, , by , Jessica Bruder",English,,,"
Highwayman
Hear/Say Productions
Cor Cordium Productions
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440,Alejandro G. Iñárritu,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Alejandro G. Iñárritu
Nicolás Giacobone
",,,", 
Alejandro G. Iñárritu
Stacy Perskie Kaniss
",", 
Daniel Giménez Cacho
Griselda Siciliani
",Darius Khondji,", 
Alejandro G. Iñárritu
Mónica Salazar
",", 
Bryce Dessner
Alejandro G. Iñárritu
",,Netflix,", 
September 1, 2022 (2022-09-01) (Venice)
October 27, 2022 (2022-10-27) (Mexico)
",", 
174 minutes (Venice cut)
159 minutes (Final cut)
",Mexico,", 
Spanish
English
",,"$43,116","https://en.wikipedia.org/wiki/Bardo,_False_Chronicle_of_a_Handful_of_Truths",,,,,"
M Productions
Redrum
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bardo, falsa crónica de unas cuantas verdades",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441,Sam Mendes,Sam Mendes,,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Pippa Harris
Sam Mendes
",", 
Olivia Colman
Micheal Ward
Monica Dolan
Tom Brooke
Tanya Moodie
Hannah Onslow
Crystal Clarke
Toby Jones
Colin Firth
",Roger Deakins,Lee Smith,", 
Trent Reznor
Atticus Ross
",,", 
Searchlight Pictures (United States)[1]
Buena Vista International (International)[2]
",", 
3 September 2022 (2022-09-03) (Telluride)
9 December 2022 (2022-12-09) (United States)
9 January 2023 (2023-01-09) (United Kingdom)
","115 minutes, [2]",,,,"$11.4 million, [1]",https://en.wikipedia.org/wiki/Empire_of_Light,,English,,,"
Searchlight Pictures
TSG Entertainment
Neal Street Productions
",", 
United Kingdom[3]
United States
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1442,Pablo Larraín,"Pablo Larraín, , Guillermo Calderón",,,Juan de Dios Larraín,"Jaime Vadell, , Gloria Münchmeyer, , Alfredo Castro, , Paula Luchsinger",Edward Lachman,Sofía Subercaseaux,,Fábula,Netflix,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
August 31, 2023 (2023-08-31) (Venice)
September 15, 2023 (2023-09-15) (Netflix)
","110 minutes, [1]",Chile,"Spanish, , English, , French",,,https://en.wikipedia.org/wiki/El_Conde_(film),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443,Roland West,"Gerald Beaumont (story), , Roland West (adaptation), , Wallace Smith (adaptation, intertitles)",,,"Norma Talmadge, , Joseph M. Schenck","Norma Talmadge, , Noah Beery, , Gilbert Roland",Oliver T. Marsh,Hal C. Kern,,,United Artists,,90 minutes,United States,,,,https://en.wikipedia.org/wiki/The_Dove_(1927_film),"The Dove, , by , Willard Mack","Silent,  (English , intertitles, )",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
December 31, 1927 (1927-12-31)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, Sam TaylorLewis Milestone (uncredited)Victor Tourjansky (uncredited)",", Vladimir Nemirovich-DanchenkoC. Gardner SullivanLewis Milestone (uncredited)Erich von Stroheim (uncredited)George Marion Jr. (intertitles; uncredited)",,,", John W. Considine Jr.Joseph M. Schenck",", John BarrymoreCamilla HornGeorge FawcettLouis Wolheim",Charles Rosher,Allen McNeil,,Feature Productions,United Artists,,111 minutes,United States,"Sound (Synchronized), , English Intertitles","$1.2 million, [1]",,https://en.wikipedia.org/wiki/Tempest_(1928_film),,,", 
May 27, 1928 (1928-05-27)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445,Charles Brabin,"Marian Ainslee, , Ruth Cummings, , Alice D. G. Miller,  , ,  , Thornton Wilder,  (novel)",,,Hunt Stromberg,"Lili Damita, , Duncan Renaldo, , Raquel Torres",Merritt B. Gerstad,Margaret Booth,"Carli Elinor , ,  Peter Brunelli (uncredited)",Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,,86 minutes,United States,"Sound (Part-Talkie), , English Intertitles",,,https://en.wikipedia.org/wiki/The_Bridge_of_San_Luis_Rey_(1929_film),,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
March 30, 1929 (1929-03-30)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1446,Victor Fleming,"Carey Wilson,  (screenplay), , Frances Marion,  (story)",,,Samuel Goldwyn,"Vilma Bánky, , Walter Byron",George Barnes,"Viola Lawrence, , Katherine Hilliker, , H. H. Caldwell","Hugo Riesenfeld, , Irving Berlin,  (song ""Marie"")",Samuel Goldwyn Productions,United Artists,,90 minutes,United States,"Sound,  (Synchronized), , English , Intertitles",,,https://en.wikipedia.org/wiki/The_Awakening_(1928_film),,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
November 17, 1928 (1928-11-17)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
