,Year,Film,Nominees,FilmLink,Won
138,1968 (41st),Ice Station Zebra,Hal Millar and Joseph McMillan Johnson,/wiki/Ice_Station_Zebra,False
139,1969 (42nd),,,,False
140,1969 (42nd),Marooned,Robie Robertson,/wiki/Marooned_(1969_film),True
141,1969 (42nd),"Krakatoa, East of Java",Eugène Lourié and Alex Weldon,"/wiki/Krakatoa,_East_of_Java",False
142,1970 (43rd),,,,False
143,1970 (43rd),Tora! Tora! Tora!,A. D. Flowers and L. B. Abbott,/wiki/Tora!_Tora!_Tora!,True
144,1970 (43rd),Patton,Alex Weldon,/wiki/Patton_(film),False
145,1971 (44th),,,,False
146,1971 (44th),Bedknobs and Broomsticks,"Alan Maley, Eustace Lycett, and Danny Lee",/wiki/Bedknobs_and_Broomsticks,True
147,1971 (44th),When Dinosaurs Ruled the Earth,Jim Danforth and Roger Dicken,/wiki/When_Dinosaurs_Ruled_the_Earth,False
148,1972 (45th),,,,False
149,1972 (45th),The Poseidon Adventure [note 3],L. B. Abbott and A. D. Flowers,,False
150,1973 (46th),,,,False
151,1973 (46th),No award given,No award given,,False
152,1974 (47th),,,,False
153,1974 (47th),Earthquake [note 3],"Frank Brendel, Glen Robinson, and Albert Whitlock",,False
154,1975 (48th),,,,False
155,1975 (48th),The Hindenburg [note 3],Albert Whitlock and Glen Robinson,,False
156,1976 (49th),,,,False
157,1976 (49th),King Kong [note 3],"Carlo Rambaldi, Glen Robinson, and Frank Van der Veer",,False
158,1976 (49th),Logan's Run [note 3],"L. B. Abbott, Glen Robinson, and Matthew Yuricich",,False
159,1977 (50th),,,,False
160,1977 (50th),Star Wars,"John Stears, John Dykstra, Richard Edlund, Grant McCune, and Robert Blalack",/wiki/Star_Wars_(film),True
161,1977 (50th),Close Encounters of the Third Kind,"Roy Arbogast, Douglas Trumbull, Matthew Yuricich, Gregory Jein, and Richard Yuricich",/wiki/Close_Encounters_of_the_Third_Kind,False
162,1978 (51st),,,,False
163,1978 (51st),Superman [note 3],"Les Bowie, Colin Chilvers, Denys Coop, Roy Field, Derek Meddings, and Zoran Perisic",,False
164,1979 (52nd),,,,False
165,1979 (52nd),Alien,"H. R. Giger, Carlo Rambaldi, Brian Johnson, Nick Allder, and Dennis Ayling",/wiki/Alien_(film),True
166,1979 (52nd),1941,"William A. Fraker, A. D. Flowers, and Gregory Jein",/wiki/1941_(film),False
167,1979 (52nd),The Black Hole,"Peter Ellenshaw, Art Cruickshank, Eustace Lycett, Danny Lee, Harrison Ellenshaw, and Joe Hale",/wiki/The_Black_Hole,False
168,1979 (52nd),Moonraker,"Derek Meddings, Paul Wilson, and John Evans",/wiki/Moonraker_(film),False
169,1979 (52nd),Star Trek: The Motion Picture,"Douglas Trumbull, John Dykstra, Richard Yuricich, Robert Swarthe, David K. Stewart, and Grant McCune",/wiki/Star_Trek:_The_Motion_Picture,False
170,1980 (53rd),,,,False
171,1980 (53rd),The Empire Strikes Back [note 3],"Brian Johnson, Richard Edlund, Dennis Muren, and Bruce Nicholson",,False
172,1981 (54th),,,,False
173,1981 (54th),Raiders of the Lost Ark,"Richard Edlund, Kit West, Bruce Nicholson, and Joe Johnston",/wiki/Raiders_of_the_Lost_Ark,True
174,1981 (54th),Dragonslayer,"Dennis Muren, Phil Tippett, Ken Ralston, and Brian Johnson",/wiki/Dragonslayer_(1981_film),False
175,1982 (55th),,,,False
176,1982 (55th),E.T. the Extra-Terrestrial,"Carlo Rambaldi, Dennis Muren, and Kenneth F. Smith",/wiki/E.T._the_Extra-Terrestrial,True
177,1982 (55th),Blade Runner,"Douglas Trumbull, Richard Yuricich, and David Dryer",/wiki/Blade_Runner,False
178,1982 (55th),Poltergeist,"Richard Edlund, Michael Wood, and Bruce Nicholson",/wiki/Poltergeist_(1982_film),False
179,1983 (56th),,,,False
180,1983 (56th),Return of the Jedi [note 3],"Richard Edlund, Dennis Muren, Ken Ralston, and Phil Tippett",,False
181,1984 (57th),,,,False
182,1984 (57th),Indiana Jones and the Temple of Doom,"Dennis Muren, Michael J. McAlister, Lorne Peterson, and George Gibbs",/wiki/Indiana_Jones_and_the_Temple_of_Doom,True
183,1984 (57th),2010,"Richard Edlund, Neil Krepela, George Jenson, and Mark Stetson",/wiki/2010:_The_Year_We_Make_Contact,False
184,1984 (57th),Ghostbusters,"Richard Edlund, John Bruno, Mark Vargo, and Chuck Gaspar",/wiki/Ghostbusters,False
185,1985 (58th),,,,False
186,1985 (58th),Cocoon,"Ken Ralston, Ralph McQuarrie, Scott Farrar, and David Berry",/wiki/Cocoon_(film),True
187,1985 (58th),Return to Oz,"Will Vinton, Ian Wingrove, Zoran Perisic, and Michael Lloyd",/wiki/Return_to_Oz,False
188,1985 (58th),Young Sherlock Holmes,"Dennis Muren, Kit West, John R. Ellis, and David W. Allen",/wiki/Young_Sherlock_Holmes,False
189,1986 (59th),,,,False
190,1986 (59th),Aliens,"Robert Skotak, Stan Winston, John Richardson, and Suzanne M. Benson",/wiki/Aliens_(film),True
191,1986 (59th),Little Shop of Horrors,"Lyle Conway, Bran Ferren, and Martin Gutterridge",/wiki/Little_Shop_of_Horrors_(film),False
192,1986 (59th),Poltergeist II: The Other Side,"Richard Edlund, John Bruno, Garry Waller, and Bill Neil",/wiki/Poltergeist_II:_The_Other_Side,False
193,1987 (60th),,,,False
194,1987 (60th),Innerspace,"Dennis Muren, William George, Harley Jessup, and Kenneth F. Smith",/wiki/Innerspace,True
195,1987 (60th),Predator,"Joel Hynek, Robert M. Greenberg, Richard Greenberg, and Stan Winston",/wiki/Predator_(film),False
196,1988 (61st),,,,False
197,1988 (61st),Who Framed Roger Rabbit,"Ken Ralston, Richard Williams, Edward Jones, and George Gibbs",/wiki/Who_Framed_Roger_Rabbit,True
198,1988 (61st),Die Hard,"Richard Edlund, Al DiSarro, Brent Boates, and Thaine Morris",/wiki/Die_Hard,False
199,1988 (61st),Willow,"Dennis Muren, Michael J. McAlister, Phil Tippett, and Chris Evans",/wiki/Willow_(1988_film),False
200,1989 (62nd),,,,False
201,1989 (62nd),The Abyss,"John Bruno, Dennis Muren, Hoyt Yeatman, and Dennis Skotak",/wiki/The_Abyss,True
202,1989 (62nd),The Adventures of Baron Munchausen,Richard Conway and Kent Houston,/wiki/The_Adventures_of_Baron_Munchausen,False
203,1989 (62nd),Back to the Future Part II,"Ken Ralston, Michael Lantieri, John Bell, and Steve Gawley",/wiki/Back_to_the_Future_Part_II,False
204,1990 (63rd),,,,False
205,1990 (63rd),Total Recall [note 3],"Eric Brevig, Rob Bottin, Tim McGovern, and Alex Funke",,False
206,1991 (64th),,,,False
207,1991 (64th),Terminator 2: Judgment Day,"Dennis Muren, Stan Winston, Gene Warren Jr., and Robert Skotak",/wiki/Terminator_2:_Judgment_Day,True
208,1991 (64th),Backdraft,"Mikael Salomon, Allen Hall, Clay Pinney, and Scott Farrar",/wiki/Backdraft_(film),False
209,1991 (64th),Hook,"Eric Brevig, Harley Jessup, Mark Sullivan, and Michael Lantieri",/wiki/Hook_(film),False
210,1992 (65th),,,,False
211,1992 (65th),Death Becomes Her,"Ken Ralston, Doug Chiang, Douglas Smythe, and Tom Woodruff Jr.",/wiki/Death_Becomes_Her,True
212,1992 (65th),Alien 3,"Richard Edlund, Alec Gillis, Tom Woodruff Jr., and George Gibbs",/wiki/Alien_3,False
213,1992 (65th),Batman Returns,"Michael L. Fink, Craig Barron, John Bruno, and Dennis Skotak",/wiki/Batman_Returns,False
214,1993 (66th),,,,False
215,1993 (66th),Jurassic Park,"Dennis Muren, Stan Winston, Phil Tippett, and Michael Lantieri",/wiki/Jurassic_Park_(film),True
216,1993 (66th),Cliffhanger,"Neil Krepela, John Richardson, John Bruno, and Pamela Easley",/wiki/Cliffhanger_(film),False
217,1993 (66th),The Nightmare Before Christmas,"Pete Kozachik, Eric Leighton, Ariel Velasco Shaw, and Gordon Baker",/wiki/The_Nightmare_Before_Christmas,False
218,1994 (67th),,,,False
219,1994 (67th),Forrest Gump,"Ken Ralston, George Murphy, Stephen Rosenbaum, and Allen Hall",/wiki/Forrest_Gump,True
220,1994 (67th),The Mask,"Scott Squires, Steve 'Spaz' Williams, Tom Bertino, and Jon Farhat",/wiki/The_Mask_(1994_film),False
221,1994 (67th),True Lies,"John Bruno, Thomas L. Fisher, Jacques Stroweis, and Patrick McClung",/wiki/True_Lies,False
222,1995 (68th),,,,False
223,1995 (68th),Babe,"Scott E. Anderson, Charles Gibson, Neal Scanlan, and John Cox",/wiki/Babe_(film),True
224,1995 (68th),Apollo 13,"Robert Legato, Michael Kanfer, Leslie Ekker, and Matt Sweeney",/wiki/Apollo_13_(film),False
225,1996 (69th),,,,False
226,1996 (69th),Independence Day,"Volker Engel, Douglas Smith, Clay Pinney, and Joseph Viskocil",/wiki/Independence_Day_(1996_film),True
227,1996 (69th),Dragonheart,"Scott Squires, Phil Tippett, James Straus, and Kit West",/wiki/Dragonheart,False
228,1996 (69th),Twister,"Stefen Fangmeier, John Frazier, Habib Zargarpour, and Henry La Bounta",/wiki/Twister_(1996_film),False
229,1997 (70th),,,,False
230,1997 (70th),Titanic,"Robert Legato, Mark Lasoff, Thomas L. Fisher, and Michael Kanfer",/wiki/Titanic_(1997_film),True
231,1997 (70th),The Lost World: Jurassic Park,"Dennis Muren, Stan Winston, Randal M. Dutra, and Michael Lantieri",/wiki/The_Lost_World:_Jurassic_Park,False
232,1997 (70th),Starship Troopers,"Phil Tippett, Scott E. Anderson, Alec Gillis, and John Richardson",/wiki/Starship_Troopers_(film),False
233,1998 (71st),,,,False
234,1998 (71st),What Dreams May Come,"Joel Hynek, Nicholas Brooks, Stuart Robertson, and Kevin Mack",/wiki/What_Dreams_May_Come_(film),True
235,1998 (71st),Armageddon,"Richard R. Hoover, Patrick McClung, and John Frazier",/wiki/Armageddon_(1998_film),False
236,1998 (71st),Mighty Joe Young,"Rick Baker, Hoyt Yeatman, Allen Hall, and Jim Mitchell",/wiki/Mighty_Joe_Young_(1998_film),False
237,1999 (72nd),,,,False
238,1999 (72nd),The Matrix,"John Gaeta, Janek Sirrs, Steve Courtley, and Jon Thum",/wiki/The_Matrix,True
239,1999 (72nd),Star Wars: Episode I – The Phantom Menace,"John Knoll, Dennis Muren, Scott Squires, and Rob Coleman",/wiki/Star_Wars:_Episode_I_%E2%80%93_The_Phantom_Menace,False
240,1999 (72nd),Stuart Little,"John Dykstra, Jerome Chen, Henry F. Anderson III, and Eric Allard",/wiki/Stuart_Little_(film),False
241,2000 (73rd),,,,False
242,2000 (73rd),Gladiator,"John Nelson, Neil Corbould, Tim Burke, and Rob Harvey",/wiki/Gladiator_(2000_film),True
243,2000 (73rd),Hollow Man,"Scott E. Anderson, Craig Hayes, Scott Stokdyk, and Stan Parks",/wiki/Hollow_Man,False
244,2000 (73rd),The Perfect Storm,"Stefen Fangmeier, Habib Zargarpour, John Frazier, and Walt Conti",/wiki/The_Perfect_Storm_(film),False
245,2001 (74th),,,,False
246,2001 (74th),The Lord of the Rings: The Fellowship of the Ring,"Jim Rygiel, Randall William Cook, Richard Taylor, and Mark Stetson",/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,True
247,2001 (74th),A.I. Artificial Intelligence,"Dennis Muren, Scott Farrar, Stan Winston, and Michael Lantieri",/wiki/A.I._Artificial_Intelligence,False
248,2001 (74th),Pearl Harbor,"Eric Brevig, John Frazier, Ed Hirsh, and Ben Snow",/wiki/Pearl_Harbor_(film),False
249,2002 (75th),,,,False
250,2002 (75th),The Lord of the Rings: The Two Towers,"Jim Rygiel, Joe Letteri, Randall William Cook, and Alex Funke",/wiki/The_Lord_of_the_Rings:_The_Two_Towers,True
251,2002 (75th),Spider-Man,"John Dykstra, Scott Stokdyk, Anthony LaMolinara, and John Frazier",/wiki/Spider-Man_(2002_film),False
252,2002 (75th),Star Wars: Episode II – Attack of the Clones,"Rob Coleman, Pablo Helman, John Knoll, and Ben Snow",/wiki/Star_Wars:_Episode_II_%E2%80%93_Attack_of_the_Clones,False
253,2003 (76th),,,,False
254,2003 (76th),The Lord of the Rings: The Return of the King,"Jim Rygiel, Joe Letteri, Randall William Cook, and Alex Funke",/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,True
255,2003 (76th),Master and Commander: The Far Side of the World,"Dan Sudick, Stefen Fangmeier, Nathan McGuinness, and Robert Stromberg",/wiki/Master_and_Commander:_The_Far_Side_of_the_World,False
256,2003 (76th),Pirates of the Caribbean: The Curse of the Black Pearl,"John Knoll, Hal Hickel, Charles Gibson, and Terry Frazee",/wiki/Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl,False
257,2004 (77th),,,,False
258,2004 (77th),Spider-Man 2,"John Dykstra, Scott Stokdyk, Anthony LaMolinara, and John Frazier",/wiki/Spider-Man_2,True
259,2004 (77th),Harry Potter and the Prisoner of Azkaban,"Roger Guyett, Tim Burke, John Richardson, and William George",/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),False
260,2004 (77th),"I, Robot","John Nelson, Andrew R. Jones, Erik Nash, and Joe Letteri","/wiki/I,_Robot_(film)",False
261,2005 (78th),,,,False
262,2005 (78th),King Kong,"Joe Letteri, Brian Van't Hul, Christian Rivers, and Richard Taylor",/wiki/King_Kong_(2005_film),True
