,Year,Actor,Role(s),Film,Ref.,FilmLink,Won,Record,Age (in years)
116,1959 (32nd),Arthur O'Connell,Parnell Emmett McCarthy,Anatomy of a Murder,[32],/wiki/Anatomy_of_a_Murder,False,,
117,1959 (32nd),George C. Scott,Asst. State Atty. Gen. Claude Dancer,Anatomy of a Murder,[32],/wiki/Anatomy_of_a_Murder,False,,
118,1959 (32nd),Robert Vaughn,"Chester ""Chet"" Gwynn",The Young Philadelphians,[32],/wiki/The_Young_Philadelphians,False,,
119,1959 (32nd),Ed Wynn,Albert Dussell,The Diary of Anne Frank,[32],/wiki/The_Diary_of_Anne_Frank_(1959_film),False,,
120,1960 (33rd),Peter Ustinov ‡,Lentulus Batiatus,Spartacus,[33],/wiki/Spartacus_(film),True,,
121,1960 (33rd),Peter Falk,"Abe ""Kid Twist"" Reles","Murder, Inc.",[33],"/wiki/Murder,_Inc._(1960_film)",False,,
122,1960 (33rd),Jack Kruschen,Dr. David Dreyfuss,The Apartment,[33],/wiki/The_Apartment,False,,
123,1960 (33rd),Sal Mineo,Dov Landau,Exodus,[33],/wiki/Exodus_(1960_film),False,,
124,1960 (33rd),Chill Wills,Beekeeper,The Alamo,[33],/wiki/The_Alamo_(1960_film),False,,
125,1961 (34th),George Chakiris ‡,Bernardo Nuñez,West Side Story,[34],/wiki/West_Side_Story_(1961_film),True,,
126,1961 (34th),Montgomery Clift,Rudolph Petersen,Judgment at Nuremberg,[34],/wiki/Judgment_at_Nuremberg,False,,
127,1961 (34th),Peter Falk,Joy Boy,Pocketful of Miracles,[34],/wiki/Pocketful_of_Miracles,False,,
128,1961 (34th),Jackie Gleason,Minnesota Fats,The Hustler,[34],/wiki/The_Hustler,False,,
129,1961 (34th),George C. Scott[b] §,Bert Gordon,The Hustler,[34],/wiki/The_Hustler,False,,
130,1962 (35th),Ed Begley ‡,"Tom ""Boss"" Finley",Sweet Bird of Youth,[36],/wiki/Sweet_Bird_of_Youth_(1962_film),True,,
