,Year,Film,Art director(s),FilmLink,Won,Interior decorator(s),Set decorator(s),Production designer(s)
0,1927/28  (1st),,,,False,,,
1,1927/28  (1st),The Dove,William Cameron Menzies,/wiki/The_Dove_(1927_film),True,,,
2,1927/28  (1st),Tempest,William Cameron Menzies,/wiki/Tempest_(1928_film),True,,,
3,1927/28  (1st),7th Heaven,Harry Oliver,/wiki/7th_Heaven_(1927_film),False,,,
4,1927/28  (1st),Sunrise: A Song of Two Humans,Rochus Gliese,/wiki/Sunrise:_A_Song_of_Two_Humans,False,,,
5,1928/29 (2nd) [note 1],,,,False,,,
6,1928/29 (2nd) [note 1],The Bridge of San Luis Rey,Cedric Gibbons,/wiki/The_Bridge_of_San_Luis_Rey_(1929_film),True,,,
7,1928/29 (2nd) [note 1],Alibi,William Cameron Menzies,/wiki/Alibi_(1929_film),False,,,
8,1928/29 (2nd) [note 1],The Awakening,William Cameron Menzies,/wiki/The_Awakening_(1928_film),False,,,
9,1928/29 (2nd) [note 1],Dynamite,Mitchell Leisen,/wiki/Dynamite_(1929_film),False,,,
10,1928/29 (2nd) [note 1],The Patriot,Hans Dreier,/wiki/The_Patriot_(1928_film),False,,,
11,1928/29 (2nd) [note 1],Street Angel,Harry Oliver,/wiki/Street_Angel_(1928_film),False,,,
12,1929/30  (3rd),,,,False,,,
13,1929/30  (3rd),King of Jazz,Herman Rosse,/wiki/King_of_Jazz,True,,,
14,1929/30  (3rd),Bulldog Drummond,William Cameron Menzies,/wiki/Bulldog_Drummond_(1929_film),False,,,
15,1929/30  (3rd),The Love Parade,Hans Dreier,/wiki/The_Love_Parade,False,,,
16,1929/30  (3rd),Sally,Jack Okey,/wiki/Sally_(1929_film),False,,,
17,1929/30  (3rd),The Vagabond King,Hans Dreier,/wiki/The_Vagabond_King_(1930_film),False,,,
18,1930/31  (4th),,,,False,,,
19,1930/31  (4th),Cimarron,Max Rée,/wiki/Cimarron_(1931_film),True,,,
20,1930/31  (4th),Just Imagine,Stephen Goosson and Ralph Hammeras,/wiki/Just_Imagine,False,,,
21,1930/31  (4th),Morocco,Hans Dreier,/wiki/Morocco_(film),False,,,
22,1930/31  (4th),Svengali,Anton Grot,/wiki/Svengali_(1931_film),False,,,
23,1930/31  (4th),Whoopee!,Richard Day,/wiki/Whoopee!_(film),False,,,
24,1931/32  (5th),,,,False,,,
25,1931/32  (5th),Transatlantic,Gordon Wiles,/wiki/Transatlantic_(1931_film),True,,,
26,1931/32  (5th),Arrowsmith,Richard Day,/wiki/Arrowsmith_(film),False,,,
27,1931/32  (5th),À Nous la Liberté,Lazare Meerson,/wiki/%C3%80_Nous_la_Libert%C3%A9,False,,,
28,1932/33  (6th),,,,False,,,
29,1932/33  (6th),Cavalcade,William S. Darling,/wiki/Cavalcade_(1933_film),True,,,
30,1932/33  (6th),A Farewell to Arms,Hans Dreier and Roland Anderson,/wiki/A_Farewell_to_Arms_(1932_film),False,,,
31,1932/33  (6th),When Ladies Meet,Cedric Gibbons,/wiki/When_Ladies_Meet_(1933_film),False,,,
32,1934  (7th),,,,False,,,
33,1934  (7th),The Merry Widow,Cedric Gibbons and Fredric Hope,/wiki/The_Merry_Widow_(1934_film),True,,,
34,1934  (7th),The Affairs of Cellini,Richard Day,/wiki/The_Affairs_of_Cellini,False,,,
35,1934  (7th),The Gay Divorcee,Van Nest Polglase and Carroll Clark,/wiki/The_Gay_Divorcee,False,,,
36,1935  (8th),,,,False,,,
37,1935  (8th),The Dark Angel,Richard Day,/wiki/The_Dark_Angel_(1935_film),True,,,
38,1935  (8th),The Lives of a Bengal Lancer,Hans Dreier and Roland Anderson,/wiki/The_Lives_of_a_Bengal_Lancer_(film),False,,,
39,1935  (8th),Top Hat,Carroll Clark and Van Nest Polglase,/wiki/Top_Hat,False,,,
40,1936  (9th),,,,False,,,
41,1936  (9th),Dodsworth,Richard Day,/wiki/Dodsworth_(film),True,,,
42,1936  (9th),Anthony Adverse,Anton Grot,/wiki/Anthony_Adverse,False,,,
43,1936  (9th),The Great Ziegfeld,"Cedric Gibbons, Eddie Imazu and Edwin B. Willis",/wiki/The_Great_Ziegfeld,False,,,
44,1936  (9th),Lloyd's of London,William S. Darling,/wiki/Lloyd%27s_of_London_(film),False,,,
45,1936  (9th),The Magnificent Brute,Albert S. D'Agostino and Jack Otterson,/wiki/The_Magnificent_Brute_(1936_film),False,,,
46,1936  (9th),Romeo and Juliet,"Cedric Gibbons, Fredric Hope and Edwin B. Willis",/wiki/Romeo_and_Juliet_(1936_film),False,,,
47,1936  (9th),Winterset,Perry Ferguson,/wiki/Winterset_(film),False,,,
48,1937  (10th),,,,False,,,
49,1937  (10th),Lost Horizon,Stephen Goosson,/wiki/Lost_Horizon_(1937_film),True,,,
50,1937  (10th),Conquest,Cedric Gibbons and William A. Horning,/wiki/Conquest_(1937_film),False,,,
51,1937  (10th),A Damsel in Distress,Carroll Clark,/wiki/A_Damsel_in_Distress_(1937_film),False,,,
52,1937  (10th),Dead End,Richard Day,/wiki/Dead_End_(1937_film),False,,,
53,1937  (10th),Every Day's a Holiday,Wiard Ihnen,/wiki/Every_Day%27s_a_Holiday_(1937_film),False,,,
54,1937  (10th),The Life of Emile Zola,Anton Grot,/wiki/The_Life_of_Emile_Zola,False,,,
55,1937  (10th),Manhattan Merry-Go-Round,John Victor Mackay,/wiki/Manhattan_Merry-Go-Round_(film),False,,,
56,1937  (10th),The Prisoner of Zenda,Lyle R. Wheeler,/wiki/The_Prisoner_of_Zenda_(1937_film),False,,,
57,1937  (10th),Souls at Sea,Hans Dreier and Roland Anderson,/wiki/Souls_at_Sea,False,,,
58,1937  (10th),Walter Wanger's Vogues of 1938,Alexander Toluboff,/wiki/Walter_Wanger%27s_Vogues_of_1938,False,,,
59,1937  (10th),Wee Willie Winkie,William S. Darling and David S. Hall,/wiki/Wee_Willie_Winkie_(film),False,,,
60,1937  (10th),You're a Sweetheart,Jack Otterson,/wiki/You%27re_a_Sweetheart,False,,,
61,1938  (11th),,,,False,,,
62,1938  (11th),The Adventures of Robin Hood,Carl Jules Weyl,/wiki/The_Adventures_of_Robin_Hood,True,,,
63,1938  (11th),The Adventures of Tom Sawyer,Lyle R. Wheeler,/wiki/The_Adventures_of_Tom_Sawyer_(1938_film),False,,,
64,1938  (11th),Alexander's Ragtime Band,Bernard Herzbrun and Boris Leven,/wiki/Alexander%27s_Ragtime_Band_(film),False,,,
65,1938  (11th),Algiers,Alexander Toluboff,/wiki/Algiers_(film),False,,,
66,1938  (11th),Carefree,Van Nest Polglase,/wiki/Carefree_(film),False,,,
67,1938  (11th),The Goldwyn Follies,Richard Day,/wiki/The_Goldwyn_Follies,False,,,
68,1938  (11th),Holiday,Stephen Goosson and Lionel Banks,/wiki/Holiday_(1938_film),False,,,
69,1938  (11th),If I Were King,Hans Dreier and John B. Goodman,/wiki/If_I_Were_King,False,,,
70,1938  (11th),Mad About Music,Jack Otterson,/wiki/Mad_About_Music,False,,,
71,1938  (11th),Marie Antoinette,Cedric Gibbons,/wiki/Marie_Antoinette_(1938_film),False,,,
72,1938  (11th),Merrily We Live,Charles D. Hall,/wiki/Merrily_We_Live,False,,,
73,1939  (12th),,,,False,,,
74,1939  (12th),Gone with the Wind,Lyle R. Wheeler,/wiki/Gone_with_the_Wind_(film),True,,,
75,1939  (12th),Beau Geste,Hans Dreier and Robert Odell,/wiki/Beau_Geste_(1939_film),False,,,
76,1939  (12th),Captain Fury,Charles D. Hall,/wiki/Captain_Fury,False,,,
77,1939  (12th),First Love,Jack Otterson and Martin Obzina,/wiki/First_Love_(1939_film),False,,,
78,1939  (12th),Love Affair,Van Nest Polglase and Alfred Herman,/wiki/Love_Affair_(1939_film),False,,,
79,1939  (12th),Man of Conquest,John Victor Mackay,/wiki/Man_of_Conquest,False,,,
80,1939  (12th),Mr. Smith Goes to Washington,Lionel Banks,/wiki/Mr._Smith_Goes_to_Washington,False,,,
81,1939  (12th),The Private Lives of Elizabeth and Essex,Anton Grot,/wiki/The_Private_Lives_of_Elizabeth_and_Essex,False,,,
82,1939  (12th),The Rains Came,William S. Darling and George Dudley,/wiki/The_Rains_Came,False,,,
83,1939  (12th),Stagecoach,Alexander Toluboff,/wiki/Stagecoach_(1939_film),False,,,
84,1939  (12th),The Wizard of Oz,Cedric Gibbons and William A. Horning,/wiki/The_Wizard_of_Oz_(1939_film),False,,,
85,1939  (12th),Wuthering Heights,James Basevi,/wiki/Wuthering_Heights_(1939_film),False,,,
86,1940  (13th) [note 2],Black-and-White,Black-and-White,,False,Black-and-White,,
87,1940  (13th) [note 2],Pride and Prejudice,Cedric Gibbons and Paul Groesse,/wiki/Pride_and_Prejudice_(1940_film),True,—,,
88,1940  (13th) [note 2],"Arise, My Love",Hans Dreier and Robert Usher,"/wiki/Arise,_My_Love",False,—,,
89,1940  (13th) [note 2],Arizona,Lionel Banks and Robert Peterson,/wiki/Arizona_(1940_film),False,—,,
90,1940  (13th) [note 2],The Boys from Syracuse,Jack Otterson,/wiki/The_Boys_from_Syracuse_(film),False,—,,
91,1940  (13th) [note 2],Dark Command,John Victor Mackay,/wiki/Dark_Command,False,—,,
92,1940  (13th) [note 2],Foreign Correspondent,Alexander Golitzen,/wiki/Foreign_Correspondent_(film),False,—,,
93,1940  (13th) [note 2],Lillian Russell,Richard Day and Joseph C. Wright,/wiki/Lillian_Russell_(film),False,—,,
94,1940  (13th) [note 2],My Favorite Wife,Van Nest Polglase and Mark-Lee Kirk,/wiki/My_Favorite_Wife,False,—,,
95,1940  (13th) [note 2],"My Son, My Son!",John DuCasse Schulze,"/wiki/My_Son,_My_Son!_(film)",False,—,,
96,1940  (13th) [note 2],Our Town,Lewis J. Rachmil,/wiki/Our_Town_(1940_film),False,—,,
97,1940  (13th) [note 2],Rebecca,Lyle R. Wheeler,/wiki/Rebecca_(1940_film),False,—,,
98,1940  (13th) [note 2],The Sea Hawk,Anton Grot,/wiki/The_Sea_Hawk_(1940_film),False,—,,
99,1940  (13th) [note 2],The Westerner,James Basevi,/wiki/The_Westerner_(1940_film),False,—,,
100,1940  (13th) [note 2],Color,Color,,False,Color,,
101,1940  (13th) [note 2],The Thief of Bagdad,Vincent Korda,/wiki/The_Thief_of_Bagdad_(1940_film),True,—,,
102,1940  (13th) [note 2],Bitter Sweet,Cedric Gibbons and John S. Detlie,/wiki/Bitter_Sweet_(1940_film),False,—,,
103,1940  (13th) [note 2],Down Argentine Way,Richard Day and Joseph C. Wright,/wiki/Down_Argentine_Way,False,—,,
104,1940  (13th) [note 2],North West Mounted Police,Hans Dreier and Roland Anderson,/wiki/North_West_Mounted_Police_(film),False,—,,
105,1941  (14th) [note 3][5],Black-and-White,Black-and-White,,False,Black-and-White,,
106,1941  (14th) [note 3][5],How Green Was My Valley,Richard Day and Nathan Juran,/wiki/How_Green_Was_My_Valley_(film),True,Thomas Little,,
107,1941  (14th) [note 3][5],Citizen Kane,Perry Ferguson and Van Nest Polglase,/wiki/Citizen_Kane,False,A. Roland Fields and Darrell Silvera,,
108,1941  (14th) [note 3][5],The Flame of New Orleans,Martin Obzina and Jack Otterson,/wiki/The_Flame_of_New_Orleans,False,Russell A. Gausman,,
109,1941  (14th) [note 3][5],Hold Back the Dawn,Hans Dreier and Robert Usher,/wiki/Hold_Back_the_Dawn,False,Samuel M. Comer,,
110,1941  (14th) [note 3][5],Ladies in Retirement,Lionel Banks,/wiki/Ladies_in_Retirement,False,George Montgomery,,
111,1941  (14th) [note 3][5],The Little Foxes,Stephen Goosson,/wiki/The_Little_Foxes_(film),False,Howard Bristol,,
112,1941  (14th) [note 3][5],Sergeant York,John Hughes,/wiki/Sergeant_York_(film),False,Fred M. MacLean,,
113,1941  (14th) [note 3][5],The Son of Monte Cristo,John DuCasse Schulze,/wiki/The_Son_of_Monte_Cristo,False,Edward G. Boyle,,
114,1941  (14th) [note 3][5],Sundown,Alexander Golitzen,/wiki/Sundown_(1941_film),False,Richard Irvine,,
115,1941  (14th) [note 3][5],That Hamilton Woman,Vincent Korda,/wiki/That_Hamilton_Woman,False,Julia Heron,,
116,1941  (14th) [note 3][5],When Ladies Meet,Cedric Gibbons and Randall Duell,/wiki/When_Ladies_Meet_(1941_film),False,Edwin B. Willis,,
117,1941  (14th) [note 3][5],Color,Color,,False,Color,,
118,1941  (14th) [note 3][5],Blossoms in the Dust,Cedric Gibbons and Urie McCleary,/wiki/Blossoms_in_the_Dust,True,Edwin B. Willis,,
119,1941  (14th) [note 3][5],Blood and Sand,Richard Day and Joseph C. Wright,/wiki/Blood_and_Sand_(1941_film),False,Thomas Little,,
120,1941  (14th) [note 3][5],Louisiana Purchase,Raoul Pene Du Bois,/wiki/Louisiana_Purchase_(film),False,Stephen Seymour,,
121,1942  (15th),Black-and-White,Black-and-White,,False,Black-and-White,,
122,1942  (15th),This Above All,Richard Day and Joseph C. Wright,/wiki/This_Above_All_(film),True,Thomas Little,,
123,1942  (15th),George Washington Slept Here,Max Parker and Mark-Lee Kirk,/wiki/George_Washington_Slept_Here,False,Casey Roberts,,
124,1942  (15th),The Magnificent Ambersons,Albert S. D'Agostino,/wiki/The_Magnificent_Ambersons_(film),False,A. Roland Fields and Darrell Silvera,,
125,1942  (15th),The Pride of the Yankees,Perry Ferguson,/wiki/The_Pride_of_the_Yankees,False,Howard Bristol,,
126,1942  (15th),Random Harvest,Cedric Gibbons and Randall Duell,/wiki/Random_Harvest_(film),False,Edwin B. Willis and Jack Moore,,
127,1942  (15th),The Shanghai Gesture,Boris Leven,/wiki/The_Shanghai_Gesture,False,Boris Leven,,
128,1942  (15th),Silver Queen,Ralph Berger,/wiki/Silver_Queen,False,Emile Kuri,,
129,1942  (15th),The Spoilers,John B. Goodman and Jack Otterson,/wiki/The_Spoilers_(1942_film),False,Russell A. Gausman and Edward Ray Robinson,,
130,1942  (15th),"Take a Letter, Darling",Hans Dreier and Roland Anderson,"/wiki/Take_a_Letter,_Darling",False,Samuel M. Comer,,
131,1942  (15th),The Talk of the Town,Lionel Banks and Rudolph Sternad,/wiki/The_Talk_of_the_Town_(1942_film),False,Fay Babcock,,
132,1942  (15th),Color,Color,,False,Color,,
133,1942  (15th),My Gal Sal,Richard Day and Joseph C. Wright,/wiki/My_Gal_Sal,True,Thomas Little,,
134,1942  (15th),Arabian Nights,Alexander Golitzen and Jack Otterson,/wiki/Arabian_Nights_(1942_film),False,Russell A. Gausman and Ira S. Webb,,
135,1942  (15th),Captains of the Clouds,Ted Smith,/wiki/Captains_of_the_Clouds,False,Casey Roberts,,
136,1942  (15th),Jungle Book,Vincent Korda,/wiki/Rudyard_Kipling%27s_Jungle_Book,False,Julia Heron,,
137,1942  (15th),Reap the Wild Wind,Hans Dreier and Roland Anderson,/wiki/Reap_the_Wild_Wind,False,George Sawley,,
138,1943  (16th),Black-and-White,Black-and-White,,False,Black-and-White,,
139,1943  (16th),The Song of Bernadette,James Basevi and William S. Darling,/wiki/The_Song_of_Bernadette_(film),True,Thomas Little,,
140,1943  (16th),Five Graves to Cairo,Hans Dreier and Ernst Fegté,/wiki/Five_Graves_to_Cairo,False,Bertram C. Granger,,
141,1943  (16th),Flight for Freedom,Albert S. D'Agostino and Carroll Clark,/wiki/Flight_for_Freedom,False,Darrell Silvera and Harley Miller,,
142,1943  (16th),Madame Curie,Cedric Gibbons and Paul Groesse,/wiki/Madame_Curie_(film),False,Edwin B. Willis and Hugh Hunt,,
143,1943  (16th),Mission to Moscow,Carl Jules Weyl,/wiki/Mission_to_Moscow,False,George James Hopkins,,
144,1943  (16th),The North Star,Perry Ferguson,/wiki/The_North_Star_(1943_film),False,Howard Bristol,,
145,1943  (16th),Color,Color,,False,Color,,
146,1943  (16th),Phantom of the Opera,Alexander Golitzen and John B. Goodman,/wiki/Phantom_of_the_Opera_(1943_film),True,Russell A. Gausman and Ira S. Webb,,
147,1943  (16th),For Whom the Bell Tolls,Hans Dreier and Haldane Douglas,/wiki/For_Whom_the_Bell_Tolls_(film),False,Bertram C. Granger,,
148,1943  (16th),The Gang's All Here,James Basevi and Joseph C. Wright,/wiki/The_Gang%27s_All_Here_(1943_film),False,Thomas Little,,
149,1943  (16th),This Is the Army,John Hughes,/wiki/This_Is_the_Army,False,George James Hopkins,,
150,1943  (16th),Thousands Cheer,Cedric Gibbons and Daniel Cathcart,/wiki/Thousands_Cheer,False,Edwin B. Willis and Jacques Mersereau,,
151,1944  (17th) [note 4][5],Black-and-White,Black-and-White,,False,Black-and-White,,
152,1944  (17th) [note 4][5],Gaslight,Cedric Gibbons and William Ferrari,/wiki/Gaslight_(1944_film),True,Paul Huldschinsky and Edwin B. Willis,,
153,1944  (17th) [note 4][5],Address Unknown,Lionel Banks and Walter Holscher,/wiki/Address_Unknown_(1944_film),False,Joseph Kish,,
154,1944  (17th) [note 4][5],The Adventures of Mark Twain,John Hughes,/wiki/The_Adventures_of_Mark_Twain_(1944_film),False,Fred M. MacLean,,
155,1944  (17th) [note 4][5],Casanova Brown,Perry Ferguson,/wiki/Casanova_Brown,False,Julia Heron,,
156,1944  (17th) [note 4][5],Laura,Lyle R. Wheeler and Leland Fuller,/wiki/Laura_(1944_film),False,Thomas Little,,
157,1944  (17th) [note 4][5],No Time for Love,Hans Dreier and Robert Usher,/wiki/No_Time_for_Love_(1943_film),False,Samuel M. Comer,,
158,1944  (17th) [note 4][5],Since You Went Away,Mark-Lee Kirk,/wiki/Since_You_Went_Away,False,Victor A. Gangelin,,
159,1944  (17th) [note 4][5],Step Lively,Albert S. D'Agostino and Carroll Clark,/wiki/Step_Lively_(1944_film),False,Darrell Silvera and Claude E. Carpenter,,
160,1944  (17th) [note 4][5],Color,Color,,False,Color,,
161,1944  (17th) [note 4][5],Wilson,Wiard Ihnen,/wiki/Wilson_(1944_film),True,Thomas Little,,
162,1944  (17th) [note 4][5],The Climax,John B. Goodman and Alexander Golitzen,/wiki/The_Climax_(1944_film),False,Russell A. Gausman and Ira S. Webb,,
163,1944  (17th) [note 4][5],Cover Girl,Lionel Banks and Cary Odell,/wiki/Cover_Girl_(film),False,Fay Babcock,,
164,1944  (17th) [note 4][5],The Desert Song,Charles Novi,/wiki/The_Desert_Song_(1943_film),False,Jack McConaghy,,
165,1944  (17th) [note 4][5],Kismet,Cedric Gibbons and Daniel B. Cathcart,/wiki/Kismet_(1944_film),False,Edwin B. Willis and Richard Pefferle,,
166,1944  (17th) [note 4][5],Lady in the Dark,Hans Dreier and Raoul Pene Du Bois,/wiki/Lady_in_the_Dark_(film),False,Ray Moyer,,
167,1944  (17th) [note 4][5],The Princess and the Pirate,Ernst Fegté,/wiki/The_Princess_and_the_Pirate,False,Howard Bristol,,
168,1945  (18th),Black-and-White,Black-and-White,,False,Black-and-White,,
169,1945  (18th),Blood on the Sun,Wiard Ihnen,/wiki/Blood_on_the_Sun,True,A. Roland Fields,,
170,1945  (18th),Experiment Perilous,Albert S. D'Agostino and Jack Okey,/wiki/Experiment_Perilous,False,Darrell Silvera and Claude E. Carpenter,,
171,1945  (18th),The Keys of the Kingdom,James Basevi and William S. Darling,/wiki/The_Keys_of_the_Kingdom_(film),False,Thomas Little and Frank E. Hughes,,
172,1945  (18th),Love Letters,Hans Dreier and Roland Anderson,/wiki/Love_Letters_(1945_film),False,Samuel M. Comer and Ray Moyer,,
173,1945  (18th),The Picture of Dorian Gray,Cedric Gibbons and Hans Peters,/wiki/The_Picture_of_Dorian_Gray_(1945_film),False,Edwin B. Willis and John Bonar and Hugh Hunt,,
174,1945  (18th),Color,Color,,False,Color,,
175,1945  (18th),Frenchman's Creek,Hans Dreier and Ernst Fegté,/wiki/Frenchman%27s_Creek_(film),True,Samuel M. Comer,,
176,1945  (18th),Leave Her to Heaven,Lyle R. Wheeler and Maurice Ransford,/wiki/Leave_Her_to_Heaven,False,Thomas Little,,
177,1945  (18th),National Velvet,Cedric Gibbons and Urie McCleary,/wiki/National_Velvet_(film),False,Edwin B. Willis and Mildred Griffiths,,
178,1945  (18th),San Antonio,Ted Smith,/wiki/San_Antonio_(film),False,Jack McConaghy,,
179,1945  (18th),A Thousand and One Nights,Stephen Goosson and Rudolph Sternad,/wiki/A_Thousand_and_One_Nights_(1945_film),False,Frank Tuttle,,
180,1946  (19th),Black-and-White,Black-and-White,,False,Black-and-White,,
181,1946  (19th),Anna and the King of Siam,William S. Darling and Lyle R. Wheeler,/wiki/Anna_and_the_King_of_Siam_(film),True,Thomas Little and Frank E. Hughes,,
182,1946  (19th),Kitty,Hans Dreier and Walter H. Tyler,/wiki/Kitty_(1945_film),False,Samuel M. Comer and Ray Moyer,,
183,1946  (19th),The Razor's Edge,Richard Day and Nathan H. Juran,/wiki/The_Razor%27s_Edge_(1946_film),False,Thomas Little and Paul S. Fox,,
184,1946  (19th),Color,Color,,False,Color,,
185,1946  (19th),The Yearling,Cedric Gibbons and Paul Groesse,/wiki/The_Yearling_(1946_film),True,Edwin B. Willis,,
186,1946  (19th),Caesar and Cleopatra,John Bryan,/wiki/Caesar_and_Cleopatra_(film),False,—,,
187,1946  (19th),Henry V,Paul Sheriff and Carmen Dillon,/wiki/Henry_V_(1944_film),False,—,,
188,1947  (20th),Black-and-White,Black-and-White,,False,Black-and-White,,
189,1947  (20th),Great Expectations,Wilfred Shingleton,/wiki/Great_Expectations_(1946_film),True,John Bryan,,
190,1947  (20th),The Foxes of Harrow,Lyle R. Wheeler and Maurice Ransford,/wiki/The_Foxes_of_Harrow,False,Thomas Little and Paul S. Fox,,
191,1947  (20th),Color,Color,,False,Color,,
192,1947  (20th),Black Narcissus,Alfred Junge,/wiki/Black_Narcissus,True,—,,
193,1947  (20th),Life with Father,Robert M. Haas,/wiki/Life_with_Father_(film),False,George James Hopkins,,
194,1948  (21st),Black-and-White,Black-and-White,,False,Black-and-White,,
195,1948  (21st),Hamlet,Roger K. Furse,/wiki/Hamlet_(1948_film),True,Carmen Dillon,,
196,1948  (21st),Johnny Belinda,Robert M. Haas,/wiki/Johnny_Belinda_(1948_film),False,William O. Wallace,,
197,1948  (21st),Color,Color,,False,Color,,
198,1948  (21st),The Red Shoes,Hein Heckroth,/wiki/The_Red_Shoes_(1948_film),True,Arthur Lawson,,
199,1948  (21st),Joan of Arc,Richard Day,/wiki/Joan_of_Arc_(1948_film),False,Edwin Casey Roberts and Joseph Kish,,
200,1949  (22nd) [6],Black-and-White,Black-and-White,,False,Black-and-White,,
201,1949  (22nd) [6],The Heiress,Harry Horner and John Meehan,/wiki/The_Heiress,True,Emile Kuri,,
202,1949  (22nd) [6],Come to the Stable,Lyle R. Wheeler and Joseph C. Wright,/wiki/Come_to_the_Stable,False,Thomas Little and Paul S. Fox,,
203,1949  (22nd) [6],Madame Bovary,Cedric Gibbons and Jack Martin Smith,/wiki/Madame_Bovary_(1949_film),False,Edwin B. Willis and Richard A. Pefferle,,
204,1949  (22nd) [6],Color,Color,,False,Color,,
205,1949  (22nd) [6],Little Women,Cedric Gibbons and Paul Groesse,/wiki/Little_Women_(1949_film),True,Edwin B. Willis and Jack D. Moore,,
206,1949  (22nd) [6],Adventures of Don Juan,Edward Carrere,/wiki/Adventures_of_Don_Juan,False,Lyle Reifsnider,,
207,1949  (22nd) [6],Saraband,Jim Morahan and William Kellner,/wiki/Saraband_for_Dead_Lovers,False,Michael Relph,,
208,1950  (23rd),Black-and-White,Black-and-White,,False,,Black-and-White,
209,1950  (23rd),Sunset Boulevard,Hans Dreier and John Meehan,/wiki/Sunset_Boulevard_(film),True,,Samuel M. Comer and Ray Moyer,
210,1950  (23rd),All About Eve,George W. Davis and Lyle R. Wheeler,/wiki/All_About_Eve,False,,Thomas Little and Walter M. Scott,
211,1950  (23rd),The Red Danube,Cedric Gibbons and Hans Peters,/wiki/The_Red_Danube,False,,Edwin B. Willis and Hugh Hunt,
212,1950  (23rd),Color,Color,,False,,Color,
213,1950  (23rd),Samson and Delilah,Hans Dreier and Walter H. Tyler,/wiki/Samson_and_Delilah_(1949_film),True,,Samuel M. Comer and Ray Moyer,
214,1950  (23rd),Annie Get Your Gun,Cedric Gibbons and Paul Groesse,/wiki/Annie_Get_Your_Gun_(film),False,,Edwin B. Willis and Richard A. Pefferle,
215,1950  (23rd),Destination Moon,Ernst Fegté,/wiki/Destination_Moon_(film),False,,George Sawley,
216,1951  (24th),Black-and-White,Black-and-White,,False,,Black-and-White,
217,1951  (24th),A Streetcar Named Desire,Richard Day,/wiki/A_Streetcar_Named_Desire_(1951_film),True,,George James Hopkins,
218,1951  (24th),Fourteen Hours,Leland Fuller and Lyle R. Wheeler,/wiki/Fourteen_Hours,False,,Thomas Little and Fred J. Rode,
219,1951  (24th),The House on Telegraph Hill,John DeCuir and Lyle R. Wheeler,/wiki/The_House_on_Telegraph_Hill,False,,Paul S. Fox and Thomas Little,
220,1951  (24th),La Ronde,D'Eaubonne,/wiki/La_Ronde_(1950_film),False,,—,
221,1951  (24th),Too Young to Kiss,Cedric Gibbons and Paul Groesse,/wiki/Too_Young_to_Kiss,False,,Edwin B. Willis and Jack D. Moore,
222,1951  (24th),Color,Color,,False,,Color,
223,1951  (24th),An American in Paris,E. Preston Ames and Cedric Gibbons,/wiki/An_American_in_Paris_(film),True,,Edwin B. Willis and F. Keogh Gleason,
224,1951  (24th),David and Bathsheba,George Davis and Lyle R. Wheeler,/wiki/David_and_Bathsheba_(film),False,,Paul S. Fox and Thomas Little,
225,1951  (24th),On the Riviera,"Leland Fuller, Lyle R. Wheeler and Joseph C. Wright (musical settings)",/wiki/On_the_Riviera,False,,Thomas Little and Walter M. Scott,
226,1951  (24th),Quo Vadis,"Edward Carfagno, Cedric Gibbons and William A. Horning",/wiki/Quo_Vadis_(1951_film),False,,Hugh Hunt,
227,1951  (24th),The Tales of Hoffmann,Hein Heckroth,/wiki/The_Tales_of_Hoffmann_(film),False,,—,
228,1952  (25th),Black-and-White,Black-and-White,,False,,Black-and-White,
229,1952  (25th),The Bad and the Beautiful,Edward Carfagno and Cedric Gibbons,/wiki/The_Bad_and_the_Beautiful,True,,F. Keogh Gleason and Edwin B. Willis,
230,1952  (25th),Carrie,Roland Anderson and Hal Pereira,/wiki/Carrie_(1952_film),False,,Emile Kuri,
231,1952  (25th),My Cousin Rachel,John DeCuir and Lyle R. Wheeler,/wiki/My_Cousin_Rachel_(1952_film),False,,Walter M. Scott,
232,1952  (25th),Rashomon,So Matsuyama,/wiki/Rashomon,False,,H. Motsumoto,
233,1952  (25th),Viva Zapata!,Leland Fuller and Lyle R. Wheeler,/wiki/Viva_Zapata!,False,,Claude E. Carpenter and Thomas Little,
234,1952  (25th),Color,Color,,False,,Color,
235,1952  (25th),Moulin Rouge,Paul Sheriff,/wiki/Moulin_Rouge_(1952_film),True,,Marcel Vertès,
236,1952  (25th),Hans Christian Andersen,Clavé and Richard Day,/wiki/Hans_Christian_Andersen_(film),False,,Howard Bristol,
237,1952  (25th),The Merry Widow,Cedric Gibbons and Paul Groesse,/wiki/The_Merry_Widow_(1952_film),False,,Arthur Krams and Edwin B. Willis,
238,1952  (25th),The Quiet Man,Frank Hotaling,/wiki/The_Quiet_Man,False,,John McCarthy Jr. and Charles S. Thompson,
239,1952  (25th),The Snows of Kilimanjaro,John DeCuir and Lyle R. Wheeler,/wiki/The_Snows_of_Kilimanjaro_(1952_film),False,,Paul S. Fox and Thomas Little,
240,1953  (26th),Black-and-White,Black-and-White,,False,,Black-and-White,
241,1953  (26th),Julius Caesar,Edward Carfagno and Cedric Gibbons,/wiki/Julius_Caesar_(1953_film),True,,Hugh Hunt and Edwin B. Willis,
242,1953  (26th),Martin Luther,Paul Markwitz and Fritz Maurischat,/wiki/Martin_Luther_(1953_film),False,,—,
243,1953  (26th),The President's Lady,Leland Fuller and Lyle R. Wheeler,/wiki/The_President%27s_Lady,False,,Paul S. Fox,
