,Year,Film,Nominees,FilmLink,Won,Unnamed: 3
234,1959 (32nd),Porgy and Bess,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer; Todd-AO Studio Sound Department, Fred Hynes",/wiki/Porgy_and_Bess_(film),False,
235,1960 (33rd),,,,False,
236,1960 (33rd),The Alamo,"Todd-AO Sound Department, Fred Hynes; Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer",/wiki/The_Alamo_(1960_film),True,
237,1960 (33rd),The Apartment,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer",/wiki/The_Apartment,False,
238,1960 (33rd),Cimarron,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton",/wiki/Cimarron_(1960_film),False,
239,1960 (33rd),Pepe,"Columbia Studio Sound Department, Charles Rice",/wiki/Pepe_(1960_film),False,
240,1960 (33rd),Sunrise at Campobello,"Warner Bros. Studio Sound Department, George R. Groves",/wiki/Sunrise_at_Campobello,False,
241,1961 (34th),,,,False,
242,1961 (34th),West Side Story,"Todd-AO Sound Department, Fred Hynes; Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer",/wiki/West_Side_Story_(1961_film),True,
243,1961 (34th),The Children's Hour,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer",/wiki/The_Children%27s_Hour_(film),False,
244,1961 (34th),Flower Drum Song,"Revue Studio Sound Department, Waldon O. Watson",/wiki/Flower_Drum_Song_(film),False,
245,1961 (34th),The Guns of Navarone,"Shepperton Studio Sound Department, John Cox",/wiki/The_Guns_of_Navarone_(film),False,
246,1961 (34th),The Parent Trap,"Walt Disney Studio Sound Department, Robert O. Cook",/wiki/The_Parent_Trap_(1961_film),False,
247,1962 (35th),,,,False,
248,1962 (35th),Lawrence of Arabia,"Shepperton Studio Sound Department, John Cox",/wiki/Lawrence_of_Arabia_(film),True,
249,1962 (35th),Bon Voyage!,"Walt Disney Studio Sound Department, Robert O. Cook",/wiki/Bon_Voyage!_(1962_film),False,
250,1962 (35th),The Music Man,"Warner Bros. Studio Sound Department, George Groves",/wiki/The_Music_Man_(1962_film),False,
251,1962 (35th),That Touch of Mink,"Universal City Studio Sound Department, Waldon O. Watson",/wiki/That_Touch_of_Mink,False,
252,1962 (35th),What Ever Happened to Baby Jane?,"Glen Glenn Sound Department, Joseph D. Kelly",/wiki/What_Ever_Happened_to_Baby_Jane%3F_(film),False,
253,1963 (36th),Best Sound,Best Sound,,False,Best Sound
254,1963 (36th),How the West Was Won,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton",/wiki/How_the_West_Was_Won_(film),True,
255,1963 (36th),Bye Bye Birdie,"Columbia Studio Sound Department, Charles Rice",/wiki/Bye_Bye_Birdie_(1963_film),False,
256,1963 (36th),"Captain Newman, M.D.","Universal City Studio Sound Department, Waldon O. Watson","/wiki/Captain_Newman,_M.D.",False,
257,1963 (36th),Cleopatra,"20th Century-Fox Studio Sound Department, James P. Corcoran; Todd-AO Sound Department, Fred Hynes",/wiki/Cleopatra_(1963_film),False,
258,1963 (36th),"It's a Mad, Mad, Mad, Mad World","Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer","/wiki/It%27s_a_Mad,_Mad,_Mad,_Mad_World",True,
259,1963 (36th),Best Sound Effects,Best Sound Effects,,False,Best Sound Effects
260,1963 (36th),"It's a Mad, Mad, Mad, Mad World",Walter Elliott,"/wiki/It%27s_a_Mad,_Mad,_Mad,_Mad_World",True,
261,1963 (36th),A Gathering of Eagles,Robert Bratton,/wiki/A_Gathering_of_Eagles,False,
262,1964 (37th),Best Sound,Best Sound,,False,Best Sound
263,1964 (37th),My Fair Lady,"Warner Bros. Studio Sound Department, George R. Groves",/wiki/My_Fair_Lady_(film),True,
264,1964 (37th),Becket,"Shepperton Studio Sound Department, John Cox",/wiki/Becket_(1964_film),False,
265,1964 (37th),Father Goose,"Universal City Studio Sound Department, Waldon O. Watson",/wiki/Father_Goose_(film),False,
266,1964 (37th),Mary Poppins,"Walt Disney Studio Sound Department, Robert O. Cook",/wiki/Mary_Poppins_(film),False,
267,1964 (37th),The Unsinkable Molly Brown,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton",/wiki/The_Unsinkable_Molly_Brown_(film),False,
268,1964 (37th),Best Sound Effects,Best Sound Effects,,False,Best Sound Effects
269,1964 (37th),Goldfinger,Norman Wanstall,/wiki/Goldfinger_(film),True,
270,1964 (37th),The Lively Set,Robert Bratton,/wiki/The_Lively_Set,False,
271,1965 (38th),Best Sound,Best Sound,,False,Best Sound
272,1965 (38th),The Sound of Music,"20th Century-Fox Studio Sound Department, James P. Corcoran; Todd-AO Sound Department, Fred Hynes",/wiki/The_Sound_of_Music_(film),True,
273,1965 (38th),The Agony and the Ecstasy,"20th Century-Fox Studio Sound Department, James P. Corcoran",/wiki/The_Agony_and_the_Ecstasy_(film),False,
274,1965 (38th),Doctor Zhivago,"Metro-Goldwyn-Mayer British Studio Sound Department, A. W. Watkins; Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton",/wiki/Doctor_Zhivago_(film),False,
275,1965 (38th),The Great Race,"Warner Bros. Studio Sound Department, George R. Groves",/wiki/The_Great_Race,True,
276,1965 (38th),Shenandoah,"Universal City Studio Sound Department, Waldon O. Watson",/wiki/Shenandoah_(film),False,
277,1965 (38th),Best Sound Effects,Best Sound Effects,,False,Best Sound Effects
278,1965 (38th),The Great Race,Treg Brown,/wiki/The_Great_Race,True,
279,1965 (38th),Von Ryan's Express,Walter Rossi,/wiki/Von_Ryan%27s_Express,False,
280,1966 (39th),Best Sound,Best Sound,,False,Best Sound
281,1966 (39th),Grand Prix,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton",/wiki/Grand_Prix_(1966_film),True,
282,1966 (39th),Gambit,"Universal City Studio Sound Department, Waldon O. Watson",/wiki/Gambit_(1966_film),False,
283,1966 (39th),Hawaii,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer",/wiki/Hawaii_(1966_film),False,
284,1966 (39th),The Sand Pebbles,"20th Century-Fox Studio Sound Department, James P. Corcoran",/wiki/The_Sand_Pebbles_(film),False,
285,1966 (39th),Who's Afraid of Virginia Woolf?,"Warner Bros. Studio Sound Department, George Groves",/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F_(film),False,
286,1966 (39th),Best Sound Effects,Best Sound Effects,,False,Best Sound Effects
287,1966 (39th),Grand Prix,Gordon Daniel,/wiki/Grand_Prix_(1966_film),True,
288,1966 (39th),Fantastic Voyage,Walter Rossi,/wiki/Fantastic_Voyage,False,
289,1967 (40th),Best Sound,Best Sound,,False,Best Sound
290,1967 (40th),In the Heat of the Night,Samuel Goldwyn Studio Sound Department,/wiki/In_the_Heat_of_the_Night_(film),True,
291,1967 (40th),Camelot,Warner Bros.-Seven Arts Studio Sound Department,/wiki/Camelot_(film),False,
292,1967 (40th),The Dirty Dozen,Metro-Goldwyn-Mayer Studio Sound Department,/wiki/The_Dirty_Dozen,True,
293,1967 (40th),Doctor Dolittle,20th Century-Fox Studio Sound Department,/wiki/Doctor_Dolittle_(1967_film),False,
294,1967 (40th),Thoroughly Modern Millie,Universal City Studio Sound Department,/wiki/Thoroughly_Modern_Millie,False,
295,1967 (40th),Best Sound Effects,Best Sound Effects,,False,Best Sound Effects
296,1967 (40th),The Dirty Dozen,John Poyner,/wiki/The_Dirty_Dozen,True,
297,1967 (40th),In the Heat of the Night,James Richard,/wiki/In_the_Heat_of_the_Night_(film),True,
298,1968 (41st),,,,False,
299,1968 (41st),Oliver!,Shepperton Studio Sound Department,/wiki/Oliver!_(film),True,
300,1968 (41st),Bullitt,Warner Bros.-Seven Arts Studio Sound Department,/wiki/Bullitt,False,
301,1968 (41st),Finian's Rainbow,Warner Bros.-Seven Arts Studio Sound Department,/wiki/Finian%27s_Rainbow_(1968_film),False,
302,1968 (41st),Funny Girl,Columbia Studio Sound Department,/wiki/Funny_Girl_(film),False,
303,1968 (41st),Star!,20th Century-Fox Studio Sound Department,/wiki/Star!_(film),False,
304,1969 (42nd),,,,False,
305,1969 (42nd),"Hello, Dolly!",Jack Solomon and Murray Spivack,"/wiki/Hello,_Dolly!_(film)",True,
306,1969 (42nd),Anne of the Thousand Days,John Aldred,/wiki/Anne_of_the_Thousand_Days,False,
307,1969 (42nd),Butch Cassidy and the Sundance Kid,William Edmondson and David Dockendorf,/wiki/Butch_Cassidy_and_the_Sundance_Kid,False,
308,1969 (42nd),"Gaily, Gaily",Robert Martin and Clem Portman,"/wiki/Gaily,_Gaily",False,
309,1969 (42nd),Marooned,Les Fresholtz and Arthur Piantadosi,/wiki/Marooned_(1969_film),False,
310,1970 (43rd),,,,False,
311,1970 (43rd),Patton,Douglas Williams and Don Bassman,/wiki/Patton_(film),True,
312,1970 (43rd),Airport,Ronald Pierce and David H. Moriarty,/wiki/Airport_(1970_film),False,
313,1970 (43rd),Ryan's Daughter,Gordon McCallum and John Bramall,/wiki/Ryan%27s_Daughter,False,
314,1970 (43rd),Tora! Tora! Tora!,Murray Spivack and Herman Lewis,/wiki/Tora!_Tora!_Tora!,False,
315,1970 (43rd),Woodstock,Dan Wallin and L. A. Johnson,/wiki/Woodstock_(film),False,
316,1971 (44th),,,,False,
317,1971 (44th),Fiddler on the Roof,Gordon McCallum and David Hildyard,/wiki/Fiddler_on_the_Roof_(film),True,
318,1971 (44th),Diamonds Are Forever,"Gordon McCallum, John W. Mitchell and Al Overton",/wiki/Diamonds_Are_Forever_(film),False,
319,1971 (44th),The French Connection,Theodore Soderberg and Christopher Newman,/wiki/The_French_Connection_(film),False,
320,1971 (44th),Kotch,Richard Portman and Jack Solomon,/wiki/Kotch,False,
321,1971 (44th),"Mary, Queen of Scots",Bob Jones and John Aldred,"/wiki/Mary,_Queen_of_Scots_(1971_film)",False,
322,1972 (45th),,,,False,
323,1972 (45th),Cabaret,Robert Knudson and David Hildyard,/wiki/Cabaret_(1972_film),True,
324,1972 (45th),Butterflies Are Free,Arthur Piantadosi and Charles T. Knight,/wiki/Butterflies_Are_Free,False,
325,1972 (45th),The Candidate,Richard Portman and Gene Cantamessa,/wiki/The_Candidate_(1972_film),False,
326,1972 (45th),The Godfather,"Charles Grenzbach, Richard Portman and Christopher Newman",/wiki/The_Godfather,False,
327,1972 (45th),The Poseidon Adventure,Theodore Soderberg and Herman Lewis,/wiki/The_Poseidon_Adventure_(1972_film),False,
328,1973 (46th),,,,False,
329,1973 (46th),The Exorcist,Robert Knudson and Chris Newman,/wiki/The_Exorcist,True,
330,1973 (46th),The Day of the Dolphin,Richard Portman and Larry Jost,/wiki/The_Day_of_the_Dolphin,False,
331,1973 (46th),The Paper Chase,Donald O. Mitchell and Larry Jost,/wiki/The_Paper_Chase_(film),False,
332,1973 (46th),Paper Moon,Richard Portman and Les Fresholtz,/wiki/Paper_Moon_(film),False,
333,1973 (46th),The Sting,Ronald Pierce and Robert R. Bertrand,/wiki/The_Sting,False,
334,1974 (47th),,,,False,
335,1974 (47th),Earthquake,Ronald Pierce and Melvin Metcalfe Sr.,/wiki/Earthquake_(1974_film),True,
336,1974 (47th),Chinatown,Charles Grenzbach and Larry Jost,/wiki/Chinatown_(1974_film),False,
337,1974 (47th),The Conversation,Walter Murch and Art Rochester,/wiki/The_Conversation,False,
338,1974 (47th),The Towering Inferno,Theodore Soderberg and Herman Lewis,/wiki/The_Towering_Inferno,False,
339,1974 (47th),Young Frankenstein,Richard Portman and Gene Cantamessa,/wiki/Young_Frankenstein,False,
340,1975 (48th),Best Sound,Best Sound,,False,Best Sound
341,1975 (48th),Jaws,"Robert Hoyt, Roger Heman, Earl Madery and John Carter",/wiki/Jaws_(film),True,
342,1975 (48th),Bite the Bullet,"Arthur Piantadosi, Les Fresholtz, Richard Tyler and Al Overton Jr.",/wiki/Bite_the_Bullet_(film),False,
343,1975 (48th),Funny Lady,"Richard Portman, Don MacDougall, Curly Thirlwell and Jack Solomon",/wiki/Funny_Lady,False,
344,1975 (48th),The Hindenburg,"Leonard Peterson, John A. Bolger Jr., John L. Mack and Don Sharpless",/wiki/The_Hindenburg_(film),True,
345,1975 (48th),The Wind and the Lion,"Harry W. Tetrick, Aaron Rochin, William McCaughey and Roy Charman",/wiki/The_Wind_and_the_Lion,False,
346,1975 (48th),Special Achievement Award (Sound Effects)[note 2],Special Achievement Award (Sound Effects)[note 2],,False,Special Achievement Award (Sound Effects)[note 2]
347,1975 (48th),The Hindenburg,Peter Berkos,/wiki/The_Hindenburg_(film),True,
348,1976 (49th),Best Sound,Best Sound,,False,Best Sound
349,1976 (49th),All the President's Men,"Arthur Piantadosi, Les Fresholtz, Dick Alexander and Jim Webb",/wiki/All_the_President%27s_Men_(film),True,
350,1976 (49th),King Kong,"Harry W. Tetrick (posthumously), William McCaughey, Aaron Rochin and Jack Solomon",/wiki/King_Kong_(1976_film),False,
351,1976 (49th),Rocky,"Harry W. Tetrick (posthumously), William McCaughey, Lyle J. Burbridge and Bud Alper",/wiki/Rocky,False,
352,1976 (49th),Silver Streak,"Donald O. Mitchell, Douglas Williams, Richard Tyler and Harold M. Etherington",/wiki/Silver_Streak_(film),False,
353,1976 (49th),A Star Is Born,"Robert Knudson, Dan Wallin, Robert Glass and Tom Overton",/wiki/A_Star_Is_Born_(1976_film),False,
354,1977 (50th),Best Sound,Best Sound,,False,Best Sound
355,1977 (50th),Star Wars,"Don MacDougall, Ray West, Bob Minkler and Derek Ball",/wiki/Star_Wars_(film),True,
356,1977 (50th),Close Encounters of the Third Kind,"Robert Knudson, Robert Glass, Don MacDougall and Gene Cantamessa",/wiki/Close_Encounters_of_the_Third_Kind,True,
357,1977 (50th),The Deep,"Walter Goss, Dick Alexander, Tom Beckert and Robin Gregory",/wiki/The_Deep_(1977_film),False,
358,1977 (50th),Sorcerer,"Robert Knudson, Robert Glass, Richard Tyler and Jean-Louis Ducarme",/wiki/Sorcerer_(film),False,
359,1977 (50th),The Turning Point,"Theodore Soderberg, Paul Wells, Douglas Williams and Jerry Jost",/wiki/The_Turning_Point_(1977_film),False,
360,1977 (50th),Special Achievement Award (Sound Effects Editing)[note 2],Special Achievement Award (Sound Effects Editing)[note 2],,False,Special Achievement Award (Sound Effects Editing)[note 2]
361,1977 (50th),Close Encounters of the Third Kind,Frank E. Warner,/wiki/Close_Encounters_of_the_Third_Kind,True,
362,1978 (51st),Best Sound,Best Sound,,False,Best Sound
363,1978 (51st),The Deer Hunter,"Richard Portman, William McCaughey, Aaron Rochin and Darin Knight",/wiki/The_Deer_Hunter,True,
364,1978 (51st),The Buddy Holly Story,"Tex Rudloff, Joel Fein, Curly Thirlwell and Willie D. Burton",/wiki/The_Buddy_Holly_Story,False,
365,1978 (51st),Days of Heaven,"John Wilkinson, Robert W. Glass Jr., John T. Reitz and Barry Thomas",/wiki/Days_of_Heaven,False,
366,1978 (51st),Hooper,"Robert Knudson, Robert Glass, Don MacDougall and Jack Solomon",/wiki/Hooper_(film),False,
367,1978 (51st),Superman,"Gordon McCallum, Graham V. Hartstone, Nicolas Le Messurier and Roy Charman",/wiki/Superman_(1978_film),False,
368,1979 (52nd),Best Sound,Best Sound,,False,Best Sound
369,1979 (52nd),Apocalypse Now,"Walter Murch, Mark Berger, Richard Beggs and Nat Boxer",/wiki/Apocalypse_Now,True,
370,1979 (52nd),The Electric Horseman,"Arthur Piantadosi, Les Fresholtz, Michael Minkler and Al Overton Jr.",/wiki/The_Electric_Horseman,False,
371,1979 (52nd),Meteor,"William McCaughey, Aaron Rochin, Michael J. Kohut and Jack Solomon",/wiki/Meteor_(film),False,
372,1979 (52nd),1941,"Robert Knudson, Robert Glass, Don MacDougall and Gene Cantamessa",/wiki/1941_(film),False,
373,1979 (52nd),The Rose,"Theodore Soderberg, Douglas Williams, Paul Wells and Jim Webb",/wiki/The_Rose_(film),False,
374,1979 (52nd),Special Achievement Award (Sound Editing)[note 2],Special Achievement Award (Sound Editing)[note 2],,False,Special Achievement Award (Sound Editing)[note 2]
375,1979 (52nd),The Black Stallion,Alan Splet,/wiki/The_Black_Stallion_(film),True,
376,1980 (53rd),,,,False,
377,1980 (53rd),The Empire Strikes Back,"Bill Varney, Steve Maslow, Gregg Landaker and Peter Sutton",/wiki/The_Empire_Strikes_Back,True,
378,1980 (53rd),Altered States,"Arthur Piantadosi, Les Fresholtz, Michael Minkler and Willie D. Burton",/wiki/Altered_States,False,
379,1980 (53rd),Coal Miner's Daughter,"Richard Portman, Roger Heman and James R. Alexander",/wiki/Coal_Miner%27s_Daughter_(film),False,
380,1980 (53rd),Fame,"Michael J. Kohut, Aaron Rochin, Jay M. Harding and Christopher Newman",/wiki/Fame_(1980_film),False,
381,1980 (53rd),Raging Bull,"Donald O. Mitchell, Bill Nicholson, David J. Kimball and Les Lazarowitz",/wiki/Raging_Bull,False,
382,1981 (54th),Best Sound,Best Sound,,False,Best Sound
383,1981 (54th),Raiders of the Lost Ark,"Bill Varney, Steve Maslow, Gregg Landaker and Roy Charman",/wiki/Raiders_of_the_Lost_Ark,True,
384,1981 (54th),On Golden Pond,Richard Portman and David M. Ronne,/wiki/On_Golden_Pond_(1981_film),False,
385,1981 (54th),Outland,"John Wilkinson, Robert W. Glass Jr., Robert Thirlwell and Robin Gregory",/wiki/Outland_(film),False,
386,1981 (54th),Pennies from Heaven,"Michael J. Kohut, Jay M. Harding, Richard Tyler and Al Overton Jr.",/wiki/Pennies_from_Heaven_(1981_film),False,
387,1981 (54th),Reds,"Dick Vorisek, Tom Fleischman and Simon Kaye",/wiki/Reds_(film),False,
388,1981 (54th),Special Achievement Award (Sound Effects Editing)[note 2],Special Achievement Award (Sound Effects Editing)[note 2],,False,Special Achievement Award (Sound Effects Editing)[note 2]
389,1981 (54th),Raiders of the Lost Ark,Ben Burtt and Richard L. Anderson,/wiki/Raiders_of_the_Lost_Ark,True,
390,1982 (55th),Best Sound,Best Sound,,False,Best Sound
391,1982 (55th),E.T. the Extra-Terrestrial,"Robert Knudson, Robert Glass, Don Digirolamo and Gene Cantamessa",/wiki/E.T._the_Extra-Terrestrial,True,
392,1982 (55th),Das Boot,"Milan Bor, Trevor Pyke and Mike Le Mare",/wiki/Das_Boot,False,
393,1982 (55th),Gandhi,"Gerry Humphreys, Robin O'Donoghue, Jonathan Bates and Simon Kaye",/wiki/Gandhi_(film),False,
394,1982 (55th),Tootsie,"Arthur Piantadosi, Les Fresholtz, Dick Alexander and Les Lazarowitz",/wiki/Tootsie,False,
395,1982 (55th),Tron,"Michael Minkler, Bob Minkler, Lee Minkler and James LaRue",/wiki/Tron,False,
396,1982 (55th),Best Sound Effects Editing,Best Sound Effects Editing,,False,Best Sound Effects Editing
397,1982 (55th),E.T. the Extra-Terrestrial,Charles L. Campbell and Ben Burtt,/wiki/E.T._the_Extra-Terrestrial,True,
398,1982 (55th),Das Boot,Mike Le Mare,/wiki/Das_Boot,False,
399,1982 (55th),Poltergeist,Stephen Hunter Flick and Richard L. Anderson,/wiki/Poltergeist_(1982_film),False,
400,1983 (56th),Best Sound,Best Sound,,False,Best Sound
401,1983 (56th),The Right Stuff,"Mark Berger, Tom Scott, Randy Thom and David MacMillan",/wiki/The_Right_Stuff_(film),True,
402,1983 (56th),Never Cry Wolf,"Alan Splet, Todd Boekelheide, Randy Thom and David Parker",/wiki/Never_Cry_Wolf_(film),False,
403,1983 (56th),Return of the Jedi,"Ben Burtt, Gary Summers, Randy Thom and Tony Dawe",/wiki/Return_of_the_Jedi,False,
404,1983 (56th),Terms of Endearment,"Donald O. Mitchell, Rick Kline, Kevin O'Connell and James R. Alexander",/wiki/Terms_of_Endearment,False,
405,1983 (56th),WarGames,"Michael J. Kohut, Carlos Delarios, Aaron Rochin and Willie D. Burton",/wiki/WarGames,False,
406,1983 (56th),Best Sound Effects Editing,Best Sound Effects Editing,,False,Best Sound Effects Editing
407,1983 (56th),The Right Stuff,Jay Boekelheide,/wiki/The_Right_Stuff_(film),True,
408,1983 (56th),Return of the Jedi,Ben Burtt,/wiki/Return_of_the_Jedi,False,
409,1984 (57th),Best Sound,Best Sound,,False,Best Sound
410,1984 (57th),Amadeus,"Mark Berger, Tom Scott, Todd Boekelheide and Chris Newman",/wiki/Amadeus_(film),True,
411,1984 (57th),Dune,"Bill Varney, Steve Maslow, Kevin O'Connell and Nelson Stoll",/wiki/Dune_(1984_film),False,
412,1984 (57th),A Passage to India,"Graham V. Hartstone, Nicolas Le Messurier, Michael A. Carter and John W. Mitchell",/wiki/A_Passage_to_India_(film),False,
413,1984 (57th),The River,"Nick Alphin, Robert Thirlwell, Richard Portman and David M. Ronne",/wiki/The_River_(1984_film),True,
414,1984 (57th),2010,"Michael J. Kohut, Aaron Rochin, Carlos Delarios and Gene Cantamessa",/wiki/2010:_The_Year_We_Make_Contact,False,
415,1984 (57th),Special Achievement Award (Sound Effects Editing)[note 2],Special Achievement Award (Sound Effects Editing)[note 2],,False,Special Achievement Award (Sound Effects Editing)[note 2]
416,1984 (57th),The River,Kay Rose,/wiki/The_River_(1984_film),True,
417,1985 (58th),Best Sound,Best Sound,,False,Best Sound
418,1985 (58th),Out of Africa,"Chris Jenkins, Gary Alexander, Larry Stensvold and Peter Handford",/wiki/Out_of_Africa_(film),True,
419,1985 (58th),Back to the Future,"Bill Varney, B. Tennyson Sebastian II, Robert Thirlwell and William B. Kaplan",/wiki/Back_to_the_Future,True,
420,1985 (58th),A Chorus Line,"Donald O. Mitchell, Michael Minkler, Gerry Humphreys and Christopher Newman",/wiki/A_Chorus_Line_(film),False,
421,1985 (58th),Ladyhawke,"Les Fresholtz, Dick Alexander, Vern Poore and Bud Alper",/wiki/Ladyhawke_(film),False,
422,1985 (58th),Silverado,"Donald O. Mitchell, Rick Kline, Kevin O'Connell and David M. Ronne",/wiki/Silverado_(film),False,
423,1985 (58th),Best Sound Effects Editing,Best Sound Effects Editing,,False,Best Sound Effects Editing
424,1985 (58th),Back to the Future,Charles L. Campbell and Robert Rutledge,/wiki/Back_to_the_Future,True,
425,1985 (58th),Ladyhawke,Robert G. Henderson and Alan Robert Murray,/wiki/Ladyhawke_(film),False,
426,1985 (58th),Rambo: First Blood Part II,Frederick Brown,/wiki/Rambo:_First_Blood_Part_II,False,
427,1986 (59th),Best Sound,Best Sound,,False,Best Sound
428,1986 (59th),Platoon,"John Wilkinson, Richard Rogers, Charles Grenzbach and Simon Kaye",/wiki/Platoon_(film),True,
429,1986 (59th),Aliens,"Graham V. Hartstone, Nicolas Le Messurier, Michael A. Carter and Roy Charman",/wiki/Aliens_(film),True,
430,1986 (59th),Heartbreak Ridge,"Les Fresholtz, Dick Alexander, Vern Poore and Bill Nelson",/wiki/Heartbreak_Ridge,False,
431,1986 (59th),Star Trek IV: The Voyage Home,"Terry Porter, David J. Hudson, Mel Metcalfe and Gene Cantamessa",/wiki/Star_Trek_IV:_The_Voyage_Home,False,
432,1986 (59th),Top Gun,"Donald O. Mitchell, Kevin O'Connell, Rick Kline and William B. Kaplan",/wiki/Top_Gun,False,
433,1986 (59th),Best Sound Effects Editing,Best Sound Effects Editing,,False,Best Sound Effects Editing
434,1986 (59th),Aliens,Don Sharpe,/wiki/Aliens_(film),True,
435,1986 (59th),Star Trek IV: The Voyage Home,Mark Mangini,/wiki/Star_Trek_IV:_The_Voyage_Home,False,
436,1986 (59th),Top Gun,Cecelia Hall and George Watters II,/wiki/Top_Gun,False,
437,1987 (60th),Best Sound,Best Sound,,False,Best Sound
438,1987 (60th),The Last Emperor,Bill Rowe and Ivan Sharrock,/wiki/The_Last_Emperor,True,
439,1987 (60th),Empire of the Sun,"Robert Knudson, Don Digirolamo, John Boyd and Tony Dawe",/wiki/Empire_of_the_Sun_(film),False,
440,1987 (60th),Lethal Weapon,"Les Fresholtz, Dick Alexander, Vern Poore and Bill Nelson",/wiki/Lethal_Weapon,False,
441,1987 (60th),RoboCop,"Michael J. Kohut, Carlos Delarios, Aaron Rochin and Robert Wald",/wiki/RoboCop,True,
442,1987 (60th),The Witches of Eastwick,"Wayne Artman, Tom Beckert, Tom E. Dahl and Art Rochester",/wiki/The_Witches_of_Eastwick_(film),False,
443,1987 (60th),Special Achievement Award (Sound Effects Editing)[note 2],Special Achievement Award (Sound Effects Editing)[note 2],,False,Special Achievement Award (Sound Effects Editing)[note 2]
444,1987 (60th),RoboCop,Stephen Hunter Flick and John Pospisil,/wiki/RoboCop,True,
445,1988 (61st),Best Sound,Best Sound,,False,Best Sound
446,1988 (61st),Bird,"Les Fresholtz, Dick Alexander, Vern Poore and Willie Burton",/wiki/Bird_(1988_film),True,
447,1988 (61st),Die Hard,"Don J. Bassman, Kevin F. Cleary, Richard Overton and Al Overton Jr.",/wiki/Die_Hard,False,
448,1988 (61st),Gorillas in the Mist,"Andy Nelson, Brian Saunders and Peter Handford",/wiki/Gorillas_in_the_Mist,False,
449,1988 (61st),Mississippi Burning,"Robert J. Litt, Elliot Tyson, Rick Kline and Danny Michael",/wiki/Mississippi_Burning,False,
450,1988 (61st),Who Framed Roger Rabbit,"Robert Knudson, John Boyd, Don Digirolamo and Tony Dawe",/wiki/Who_Framed_Roger_Rabbit,True,
451,1988 (61st),Best Sound Effects Editing,Best Sound Effects Editing,,False,Best Sound Effects Editing
452,1988 (61st),Who Framed Roger Rabbit,Charles L. Campbell and Louis Edemann,/wiki/Who_Framed_Roger_Rabbit,True,
453,1988 (61st),Die Hard,Stephen Hunter Flick and Richard Shorr,/wiki/Die_Hard,False,
454,1988 (61st),Willow,Ben Burtt and Richard Hymns,/wiki/Willow_(1988_film),False,
455,1989 (62nd),Best Sound,Best Sound,,False,Best Sound
456,1989 (62nd),Glory,"Donald O. Mitchell, Gregg Rudloff, Elliot Tyson and Russell Williams II",/wiki/Glory_(1989_film),True,
457,1989 (62nd),The Abyss,"Don J. Bassman, Kevin F. Cleary, Richard Overton and Lee Orloff",/wiki/The_Abyss,False,
458,1989 (62nd),Black Rain,"Donald O. Mitchell, Kevin O'Connell, Greg P. Russell and Keith A. Wester",/wiki/Black_Rain_(1989_American_film),False,
459,1989 (62nd),Born on the Fourth of July,"Michael Minkler, Gregory H. Watkins, Wylie Stateman and Tod A. Maitland",/wiki/Born_on_the_Fourth_of_July_(film),False,
460,1989 (62nd),Indiana Jones and the Last Crusade,"Ben Burtt, Gary Summers, Shawn Murphy and Tony Dawe",/wiki/Indiana_Jones_and_the_Last_Crusade,True,
461,1989 (62nd),Best Sound Effects Editing,Best Sound Effects Editing,,False,Best Sound Effects Editing
462,1989 (62nd),Indiana Jones and the Last Crusade,Ben Burtt and Richard Hymns,/wiki/Indiana_Jones_and_the_Last_Crusade,True,
463,1989 (62nd),Black Rain,Milton Burrow and William Manger,/wiki/Black_Rain_(1989_American_film),False,
464,1989 (62nd),Lethal Weapon 2,Robert G. Henderson and Alan Robert Murray,/wiki/Lethal_Weapon_2,False,
465,1990 (63rd),Best Sound,Best Sound,,False,Best Sound
466,1990 (63rd),Dances with Wolves,"Jeffrey Perkins, Bill W. Benton, Gregory H. Watkins and Russell Williams II",/wiki/Dances_with_Wolves,True,
467,1990 (63rd),Days of Thunder,"Donald O. Mitchell, Rick Kline, Kevin O'Connell and Charles M. Wilborn",/wiki/Days_of_Thunder,False,
468,1990 (63rd),Dick Tracy,"Chris Jenkins, David E. Campbell, Doug Hemphill and Thomas Causey",/wiki/Dick_Tracy_(1990_film),False,
469,1990 (63rd),The Hunt for Red October,"Don J. Bassman, Richard Overton, Kevin F. Cleary and Richard Bryce Goodman",/wiki/The_Hunt_for_Red_October_(film),True,
470,1990 (63rd),Total Recall,"Michael J. Kohut, Carlos Delarios, Aaron Rochin and Nelson Stoll",/wiki/Total_Recall_(1990_film),False,
471,1990 (63rd),Best Sound Effects Editing,Best Sound Effects Editing,,False,Best Sound Effects Editing
