,Year,Film,Nominees,FilmLink,Won,Unnamed: 3
112,1942 (15th),Flying Tigers,"Republic Studio Sound Department, Daniel J. Bloomberg",/wiki/Flying_Tigers_(film),False,
113,1942 (15th),Friendly Enemies,"Sound Service, Inc., Jack Whitney",/wiki/Friendly_Enemies_(1942_film),False,
114,1942 (15th),The Gold Rush,"RCA Sound, James L. Fields",/wiki/The_Gold_Rush,False,
115,1942 (15th),Mrs. Miniver,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer",/wiki/Mrs._Miniver,False,
116,1942 (15th),Once Upon a Honeymoon,"RKO Radio Studio Sound Department, Steve Dunn",/wiki/Once_Upon_a_Honeymoon,False,
117,1942 (15th),The Pride of the Yankees,"Samuel Goldwyn Studio Sound Department, Thomas T. Moulton",/wiki/The_Pride_of_the_Yankees,False,
118,1942 (15th),Road to Morocco,"Paramount Studio Sound Department, Loren L. Ryder",/wiki/Road_to_Morocco,False,
119,1942 (15th),This Above All,"20th Century-Fox Studio Sound Department, Edmund H. Hansen",/wiki/This_Above_All_(film),False,
120,1942 (15th),You Were Never Lovelier,"Columbia Studio Sound Department, John P. Livadary",/wiki/You_Were_Never_Lovelier,False,
121,1943 (16th),,,,False,
122,1943 (16th),This Land Is Mine,"RKO Radio Studio Sound Department, Steve Dunn",/wiki/This_Land_Is_Mine_(film),True,
123,1943 (16th),Hangmen Also Die!,"Sound Service, Inc., Jack Whitney",/wiki/Hangmen_Also_Die!,False,
124,1943 (16th),In Old Oklahoma,"Republic Studio Sound Department, Daniel J. Bloomberg",/wiki/In_Old_Oklahoma,False,
125,1943 (16th),Madame Curie,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer",/wiki/Madame_Curie_(film),False,
126,1943 (16th),The North Star,"Samuel Goldwyn Studio Sound Department, Thomas T. Moulton",/wiki/The_North_Star_(1943_film),False,
127,1943 (16th),Phantom of the Opera,"Universal Studio Sound Department, Bernard B. Brown",/wiki/Phantom_of_the_Opera_(1943_film),False,
128,1943 (16th),Riding High,"Paramount Studio Sound Department, Loren L. Ryder",/wiki/Riding_High_(1943_film),False,
129,1943 (16th),Sahara,"Columbia Studio Sound Department, John P. Livadary",/wiki/Sahara_(1943_American_film),False,
130,1943 (16th),Saludos Amigos,"Walt Disney Studio Sound Department, Sam Slyfield",/wiki/Saludos_Amigos,False,
131,1943 (16th),So This Is Washington,"RCA Sound, James L. Fields",/wiki/So_This_Is_Washington,False,
132,1943 (16th),The Song of Bernadette,"20th Century-Fox Studio Sound Department, Edmund H. Hansen",/wiki/The_Song_of_Bernadette_(film),False,
133,1943 (16th),This Is the Army,"Warner Bros. Studio Sound Department, Nathan Levinson",/wiki/This_Is_the_Army,False,
134,1944 (17th),,,,False,
135,1944 (17th),Wilson,"20th Century-Fox Studio Sound Department, Edmund H. Hansen",/wiki/Wilson_(1944_film),True,
136,1944 (17th),Brazil,"Republic Studio Sound Department, Daniel J. Bloomberg",/wiki/Brazil_(1944_film),False,
137,1944 (17th),Casanova Brown,"Samuel Goldwyn Studio Sound Department, Thomas T. Moulton",/wiki/Casanova_Brown,False,
138,1944 (17th),Cover Girl,"Columbia Studio Sound Department, John P. Livadary",/wiki/Cover_Girl_(film),False,
139,1944 (17th),Double Indemnity,"Paramount Studio Sound Department, Loren L. Ryder",/wiki/Double_Indemnity,False,
140,1944 (17th),His Butler's Sister,"Universal Studio Sound Department, Bernard B. Brown",/wiki/His_Butler%27s_Sister,False,
141,1944 (17th),Hollywood Canteen,"Warner Bros. Studio Sound Department, Nathan Levinson",/wiki/Hollywood_Canteen_(film),False,
142,1944 (17th),It Happened Tomorrow,"Sound Service, Inc., Jack Whitney",/wiki/It_Happened_Tomorrow,False,
143,1944 (17th),Kismet,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer",/wiki/Kismet_(1944_film),False,
144,1944 (17th),Music in Manhattan,"RKO Radio Studio Sound Department, Steve Dunn",/wiki/Music_in_Manhattan,False,
145,1944 (17th),Voice in the Wind,"RCA Sound, Mac Dalgleish",/wiki/Voice_in_the_Wind,False,
146,1945 (18th),,,,False,
147,1945 (18th),The Bells of St. Mary's,"RKO Radio Studio Sound Department, Steve Dunn",/wiki/The_Bells_of_St._Mary%27s,True,
148,1945 (18th),Flame of Barbary Coast,"Republic Studio Sound Department, Daniel J. Bloomberg",/wiki/Flame_of_Barbary_Coast,False,
149,1945 (18th),Lady on a Train,"Universal Studio Sound Department, Bernard B. Brown",/wiki/Lady_on_a_Train,False,
150,1945 (18th),Leave Her to Heaven,"20th Century-Fox Studio Sound Department, Thomas T. Moulton",/wiki/Leave_Her_to_Heaven,False,
151,1945 (18th),Rhapsody in Blue,"Warner Bros. Studio Sound Department, Nathan Levinson",/wiki/Rhapsody_in_Blue_(film),False,
152,1945 (18th),A Song to Remember,"Columbia Studio Sound Department, John P. Livadary",/wiki/A_Song_to_Remember,False,
153,1945 (18th),The Southerner,"General Service, Jack Whitney",/wiki/The_Southerner_(film),False,
154,1945 (18th),They Were Expendable,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer",/wiki/They_Were_Expendable,False,
155,1945 (18th),The Three Caballeros,"Walt Disney Studio Sound Department, Sam Slyfield",/wiki/The_Three_Caballeros,False,
156,1945 (18th),Three Is a Family,"RCA Sound, W. V. Wolfe",/wiki/Three_Is_a_Family,False,
157,1945 (18th),The Unseen,"Paramount Studio Sound Department, Loren L. Ryder",/wiki/The_Unseen_(1945_film),False,
