,Year,Film,Nominees,Ref.,FilmLink,Won,Record,Director,Age
24,2008 (81st),Bolt,Chris Williams & Byron Howard,[31],/wiki/Bolt_(2008_film),False,,,
25,2008 (81st),Kung Fu Panda,John Stevenson & Mark Osborne,[31],/wiki/Kung_Fu_Panda_(film),False,,,
26,2009 (82nd),Up,Pete Docter,[32],/wiki/Up_(2009_film),True,,,
27,2009 (82nd),Coraline,Henry Selick,[32],/wiki/Coraline_(film),False,,,
28,2009 (82nd),Fantastic Mr. Fox,Wes Anderson,[32],/wiki/Fantastic_Mr._Fox_(film),False,,,
29,2009 (82nd),The Princess and the Frog,John Musker & Ron Clements,[32],/wiki/The_Princess_and_the_Frog,False,,,
30,2009 (82nd),The Secret of Kells,Tomm Moore,[32],/wiki/The_Secret_of_Kells,False,,,
31,2010 (83rd),Toy Story 3,Lee Unkrich,[33],/wiki/Toy_Story_3,True,,,
32,2010 (83rd),How to Train Your Dragon,Chris Sanders & Dean DeBlois,[33],/wiki/How_to_Train_Your_Dragon_(2010_film),False,,,
33,2010 (83rd),The Illusionist,Sylvain Chomet,[33],/wiki/The_Illusionist_(2010_film),False,,,
34,2011 (84th),Rango,Gore Verbinski,[34],/wiki/Rango_(2011_film),True,,,
35,2011 (84th),A Cat in Paris,Alain Gagnol & Jean-Loup Felicioli,[34],/wiki/A_Cat_in_Paris,False,,,
36,2011 (84th),Chico and Rita,Fernando Trueba & Javier Mariscal,[34],/wiki/Chico_and_Rita,False,,,
37,2011 (84th),Kung Fu Panda 2,Jennifer Yuh Nelson,[34],/wiki/Kung_Fu_Panda_2,False,,,
38,2011 (84th),Puss in Boots,Chris Miller,[34],/wiki/Puss_in_Boots_(2011_film),False,,,
39,2012 (85th),Brave,Mark Andrews & Brenda Chapman,[35],/wiki/Brave_(2012_film),True,,,
40,2012 (85th),Frankenweenie,Tim Burton,[35],/wiki/Frankenweenie_(2012_film),False,,,
41,2012 (85th),ParaNorman,Sam Fell & Chris Butler,[35],/wiki/ParaNorman,False,,,
42,2012 (85th),The Pirates! Band of Misfits,Peter Lord,[35],/wiki/The_Pirates!_In_an_Adventure_with_Scientists!,False,,,
43,2012 (85th),Wreck-It Ralph,Rich Moore,[35],/wiki/Wreck-It_Ralph,False,,,
44,2013 (86th),Frozen,"Chris Buck, Jennifer Lee & Peter Del Vecho",[36],/wiki/Frozen_(2013_film),True,,,
45,2013 (86th),The Croods,"Chris Sanders, Kirk DeMicco & Kristine Belson",[36],/wiki/The_Croods,False,,,
46,2013 (86th),Despicable Me 2,"Chris Renaud, Pierre Coffin & Chris Meledandri",[36],/wiki/Despicable_Me_2,False,,,
47,2013 (86th),Ernest & Celestine,Benjamin Renner & Didier Brunner,[36],/wiki/Ernest_%26_Celestine,False,,,
