,Year,Film,Nominees,FilmLink,Won
157,1946 (19th),Smart as a Fox,Gordon Hollingshead,,False
158,1946 (19th),Sure Cures,Pete Smith,,False
159,1946 (19th),Two-Reel,Two-Reel,,False
160,1946 (19th),A Boy and His Dog,Gordon Hollingshead,/wiki/A_Boy_and_His_Dog_(1946_film),True
161,1946 (19th),College Queen,George Templeton,,False
162,1946 (19th),Hiss and Yell,Jules White,,False
163,1946 (19th),The Luckiest Guy in the World,Jerry Bresler,,False
164,1947 (20th),,,,False
165,1947 (20th),One-Reel,One-Reel,,False
166,1947 (20th),"Goodbye, Miss Turlock",Herbert Moulton,"/wiki/Goodbye,_Miss_Turlock",True
167,1947 (20th),"Brooklyn, U.S.A.",Thomas Mead,,False
168,1947 (20th),Moon Rockets,Jerry Fairbanks,,False
169,1947 (20th),Now You See It,Pete Smith,,False
170,1947 (20th),So You Want to Be in Pictures,Gordon Hollingshead,/wiki/So_You_Want_to_Be_in_Pictures,False
171,1947 (20th),Two-Reel,Two-Reel,,False
172,1947 (20th),Climbing the Matterhorn,Irving Allen,/wiki/Climbing_the_Matterhorn,True
173,1947 (20th),Champagne for Two,Harry Grey,,False
174,1947 (20th),Fight of the Wild Stallions,Thomas Mead,,False
175,1947 (20th),Give Us the Earth,Herbert Morgan,,False
176,1947 (20th),A Voice Is Born: The Story of Niklos Gafni,Ben Blake,,False
177,1948 (21st),,,,False
178,1948 (21st),One-Reel,One-Reel,,False
179,1948 (21st),Symphony of a City,Edmund Reek,/wiki/Symphony_of_a_City,True
180,1948 (21st),Annie Was a Wonder,Herbert Moulton,,False
181,1948 (21st),Cinderella Horse,Gordon Hollingshead,,False
182,1948 (21st),So You Want to Be on the Radio,Gordon Hollingshead,,False
183,1948 (21st),You Can't Win,Pete Smith,,False
184,1948 (21st),Two-Reel,Two-Reel,,False
185,1948 (21st),Seal Island,Walt Disney,/wiki/Seal_Island_(film),True
186,1948 (21st),Calgary Stampede,Gordon Hollingshead,,False
187,1948 (21st),Going to Blazes,Herbert Morgan,,False
188,1948 (21st),Samba-Mania,Harry Grey,,False
189,1948 (21st),Snow Capers,Thomas Mead,/wiki/Snow_Capers,False
190,1949 (22nd),,,,False
191,1949 (22nd),One-Reel,One-Reel,,False
192,1949 (22nd),Aquatic House Party,Jack Eaton,/wiki/Aquatic_House_Party,True
