,Year,Actor,Role(s),Film,Ref.,FilmLink,Won,Record,Age
0,1927/28 (1st),Emil Jannings ‡[A],Grand Duke Sergius Alexander,The Last Command,[7],/wiki/The_Last_Command_(1928_film),True,,
1,1927/28 (1st),Emil Jannings ‡[A],August Schilling,The Way of All Flesh,[7],/wiki/The_Way_of_All_Flesh_(1927_film),True,,
2,1927/28 (1st),Richard Barthelmess,Nickie Elkins,The Noose,[7],/wiki/The_Noose_(film),False,,
3,1927/28 (1st),Richard Barthelmess,Patent Leather Kid,The Patent Leather Kid,[7],/wiki/The_Patent_Leather_Kid,False,,
4,1927/28 (1st),Charlie Chaplin[B],The Tramp,The Circus,[8],/wiki/The_Circus_(1928_film),False,,
5,1928/29 (2nd) [note 1],Warner Baxter ‡,The Cisco Kid,In Old Arizona,[9],/wiki/In_Old_Arizona,True,,
6,1928/29 (2nd) [note 1],George Bancroft,Thunderbolt Jim Lang,Thunderbolt,[9],/wiki/Thunderbolt_(1929_film),False,,
7,1928/29 (2nd) [note 1],Chester Morris,Chick Williams,Alibi,[9],/wiki/Alibi_(1929_film),False,,
8,1928/29 (2nd) [note 1],Paul Muni,James Dyke,The Valiant,[9],/wiki/The_Valiant_(1929_film),False,,
9,1928/29 (2nd) [note 1],Lewis Stone,Count Pahlen,The Patriot,[9],/wiki/The_Patriot_(1928_film),False,,
10,1929/30 (3rd),George Arliss ‡[C],Benjamin Disraeli,Disraeli,[10],/wiki/Disraeli_(1929_film),True,,
11,1929/30 (3rd),George Arliss,The Raja,The Green Goddess,[10],/wiki/The_Green_Goddess_(1930_film),False,,
12,1929/30 (3rd),Wallace Beery,"Butch ""Machine Gun"" Schmidt",The Big House,[10],/wiki/The_Big_House_(1930_film),False,,
13,1929/30 (3rd),Maurice Chevalier [C],Pierre Mirande,The Big Pond,[10],/wiki/The_Big_Pond,False,,
14,1929/30 (3rd),Maurice Chevalier [C],Count Alfred Renard,The Love Parade,[10],/wiki/The_Love_Parade,False,,
15,1929/30 (3rd),Ronald Colman [C],"Capt. Hugh ""Bulldog"" Drummond",Bulldog Drummond,[10],/wiki/Bulldog_Drummond_(1929_film),False,,
16,1929/30 (3rd),Ronald Colman [C],Michel,Condemned,[10],/wiki/Condemned_(1929_film),False,,
17,1929/30 (3rd),Lawrence Tibbett,Yegor,The Rogue Song,[10],/wiki/The_Rogue_Song,False,,
18,1930/31 (4th),Lionel Barrymore ‡,Stephen Ashe,A Free Soul,[11],/wiki/A_Free_Soul,True,,
19,1930/31 (4th),Jackie Cooper,Skippy Skinner,Skippy,[11],/wiki/Skippy_(film),False,,
20,1930/31 (4th),Richard Dix,Yancey Cravat,Cimarron,[11],/wiki/Cimarron_(1931_film),False,,
21,1930/31 (4th),Fredric March,Tony Cavendish,The Royal Family of Broadway,[11],/wiki/The_Royal_Family_of_Broadway,False,,
22,1930/31 (4th),Adolphe Menjou,Walter Burns,The Front Page,[11],/wiki/The_Front_Page_(1931_film),False,,
23,1931/32 (5th),Wallace Beery ‡ (Tie) [D],"Andy ""Champ"" Purcell",The Champ,[12],/wiki/The_Champ_(1931_film),True,,
24,1931/32 (5th),Fredric March ‡ (Tie) [D],Dr. Henry Jekyll / Mr. Edward Hyde,Dr. Jekyll and Mr. Hyde,[12],/wiki/Dr._Jekyll_and_Mr._Hyde_(1931_film),True,,
25,1931/32 (5th),Alfred Lunt,The Actor,The Guardsman,[12],/wiki/The_Guardsman,False,,
26,1932/33 (6th),Charles Laughton ‡,King Henry VIII,The Private Life of Henry VIII,[13],/wiki/The_Private_Life_of_Henry_VIII,True,,
27,1932/33 (6th),Leslie Howard,Peter Standish,Berkeley Square,[13],/wiki/Berkeley_Square_(1933_film),False,,
28,1932/33 (6th),Paul Muni,James Allen,I Am a Fugitive from a Chain Gang,[13],/wiki/I_Am_a_Fugitive_from_a_Chain_Gang,False,,
29,1934 (7th),Clark Gable ‡,Peter Warne,It Happened One Night,[14],/wiki/It_Happened_One_Night,True,,
30,1934 (7th),Frank Morgan,"Alessandro, Duke of Florence",The Affairs of Cellini,[14],/wiki/The_Affairs_of_Cellini,False,,
31,1934 (7th),William Powell,Nick Charles,The Thin Man,[14],/wiki/The_Thin_Man_(film),False,,
32,1935 (8th),Victor McLaglen ‡,Gypo Nolan,The Informer,[15],/wiki/The_Informer_(1935_film),True,,
33,1935 (8th),Clark Gable,Lt. Fletcher Christian,Mutiny on the Bounty,[15],/wiki/Mutiny_on_the_Bounty_(1935_film),False,,
34,1935 (8th),Charles Laughton,Captain William Bligh,Mutiny on the Bounty,[15],/wiki/Mutiny_on_the_Bounty_(1935_film),False,,
35,1935 (8th),Franchot Tone,Midshipman Roger Byam,Mutiny on the Bounty,[15],/wiki/Mutiny_on_the_Bounty_(1935_film),False,,
36,1935 (8th),Paul Muni (Write-in)[E],Joe Radek,Black Fury,[15],/wiki/Black_Fury_(film),False,,
37,1936 (9th),Paul Muni ‡,Louis Pasteur,The Story of Louis Pasteur,[16],/wiki/The_Story_of_Louis_Pasteur,True,,
38,1936 (9th),Gary Cooper,Longfellow Deeds,Mr. Deeds Goes to Town,[16],/wiki/Mr._Deeds_Goes_to_Town,False,,
39,1936 (9th),Walter Huston,Sam Dodsworth,Dodsworth,[16],/wiki/Dodsworth_(film),False,,
40,1936 (9th),William Powell,Godfrey Park,My Man Godfrey,[16],/wiki/My_Man_Godfrey,False,,
41,1936 (9th),Spencer Tracy,Father Tim Mullin,San Francisco,[16],/wiki/San_Francisco_(1936_film),False,,
42,1937 (10th),Spencer Tracy ‡,Manuel Fidello,Captains Courageous,[17],/wiki/Captains_Courageous_(1937_film),True,,
43,1937 (10th),Charles Boyer,Emperor Napoleon Bonaparte,Conquest,[17],/wiki/Conquest_(1937_film),False,,
44,1937 (10th),Fredric March,Norman Maine,A Star Is Born,[17],/wiki/A_Star_Is_Born_(1937_film),False,,
45,1937 (10th),Robert Montgomery,Danny,Night Must Fall,[17],/wiki/Night_Must_Fall_(1937_film),False,,
46,1937 (10th),Paul Muni,Émile Zola,The Life of Emile Zola,[17],/wiki/The_Life_of_Emile_Zola,False,,
47,1938 (11th),Spencer Tracy ‡,Father Edward Flanagan,Boys Town,[18],/wiki/Boys_Town_(film),True,,
48,1938 (11th),Charles Boyer,Pepe le Moko,Algiers,[18],/wiki/Algiers_(film),False,,
49,1938 (11th),James Cagney,Rocky Sullivan,Angels with Dirty Faces,[18],/wiki/Angels_with_Dirty_Faces,False,,
50,1938 (11th),Robert Donat,Dr. Andrew Manson,The Citadel,[18],/wiki/The_Citadel_(1938_film),False,,
51,1938 (11th),Leslie Howard,Professor Henry Higgins,Pygmalion,[18],/wiki/Pygmalion_(1938_film),False,,
52,1939 (12th),Robert Donat ‡,Charles Edward Chipping,"Goodbye, Mr. Chips",[19],"/wiki/Goodbye,_Mr._Chips_(1939_film)",True,,
53,1939 (12th),Clark Gable,Rhett Butler,Gone with the Wind,[19],/wiki/Gone_with_the_Wind_(film),False,,
54,1939 (12th),Laurence Olivier,Heathcliff,Wuthering Heights,[19],/wiki/Wuthering_Heights_(1939_film),False,,
55,1939 (12th),Mickey Rooney,Mickey Moran,Babes in Arms,[19],/wiki/Babes_in_Arms_(film),False,,
56,1939 (12th),James Stewart,Jefferson Smith,Mr. Smith Goes to Washington,[19],/wiki/Mr._Smith_Goes_to_Washington,False,,
57,1940 (13th),James Stewart ‡,"Macaulay ""Mike"" Connor",The Philadelphia Story,[20],/wiki/The_Philadelphia_Story_(film),True,,
58,1940 (13th),Charlie Chaplin,Adenoid Hynkel & The Barber,The Great Dictator,[20],/wiki/The_Great_Dictator,False,,
59,1940 (13th),Henry Fonda,Tom Joad,The Grapes of Wrath,[20],/wiki/The_Grapes_of_Wrath_(film),False,,
60,1940 (13th),Raymond Massey,Abraham Lincoln,Abe Lincoln in Illinois,[20],/wiki/Abe_Lincoln_in_Illinois_(film),False,,
61,1940 (13th),Laurence Olivier,"Maximilian ""Maxim"" de Winter",Rebecca,[20],/wiki/Rebecca_(1940_film),False,,
62,1941 (14th),Gary Cooper ‡,Sgt. Alvin York,Sergeant York,[21],/wiki/Sergeant_York_(film),True,,
63,1941 (14th),Cary Grant,Roger Adams,Penny Serenade,[21],/wiki/Penny_Serenade,False,,
64,1941 (14th),Walter Huston,Mr. Scratch,The Devil and Daniel Webster,[21],/wiki/The_Devil_and_Daniel_Webster_(film),False,,
65,1941 (14th),Robert Montgomery,Joe Pendleton,Here Comes Mr. Jordan,[21],/wiki/Here_Comes_Mr._Jordan,False,,
66,1941 (14th),Orson Welles,Charles Foster Kane,Citizen Kane,[21],/wiki/Citizen_Kane,False,,
67,1942 (15th),James Cagney ‡,George M. Cohan,Yankee Doodle Dandy,[22],/wiki/Yankee_Doodle_Dandy,True,,
68,1942 (15th),Ronald Colman,Charles Rainier,Random Harvest,[22],/wiki/Random_Harvest_(film),False,,
69,1942 (15th),Gary Cooper,Lou Gehrig,The Pride of the Yankees,[22],/wiki/The_Pride_of_the_Yankees,False,,
70,1942 (15th),Walter Pidgeon,Clem Miniver,Mrs. Miniver,[22],/wiki/Mrs._Miniver,False,,
71,1942 (15th),Monty Woolley,Howard,The Pied Piper,[22],/wiki/The_Pied_Piper_(1942_film),False,,
72,1943 (16th),Paul Lukas ‡,Kurt Muller,Watch on the Rhine,[23],/wiki/Watch_on_the_Rhine,True,,
73,1943 (16th),Humphrey Bogart,Rick Blaine,Casablanca,[23],/wiki/Casablanca_(film),False,,
74,1943 (16th),Gary Cooper,Robert Jordan,For Whom the Bell Tolls,[23],/wiki/For_Whom_the_Bell_Tolls_(film),False,,
75,1943 (16th),Walter Pidgeon,Pierre Curie,Madame Curie,[23],/wiki/Madame_Curie_(film),False,,
76,1943 (16th),Mickey Rooney,Homer Macauley,The Human Comedy,[23],/wiki/The_Human_Comedy_(film),False,,
77,1944 (17th),Bing Crosby ‡,Father Chuck O'Malley,Going My Way,[24],/wiki/Going_My_Way,True,,
78,1944 (17th),Charles Boyer,Gregory Anton,Gaslight,[24],/wiki/Gaslight_(1944_film),False,,
79,1944 (17th),Barry Fitzgerald [F],Father Fitzgibbon,Going My Way,[24],/wiki/Going_My_Way,True,,
80,1944 (17th),Cary Grant,Ernie Mott,None but the Lonely Heart,[24],/wiki/None_but_the_Lonely_Heart_(film),False,,
81,1944 (17th),Alexander Knox,Woodrow Wilson,Wilson,[24],/wiki/Wilson_(1944_film),False,,
82,1945 (18th),Ray Milland ‡,Don Birnam,The Lost Weekend,[25],/wiki/The_Lost_Weekend,True,,
83,1945 (18th),Bing Crosby,Father Chuck O'Malley,The Bells of St. Mary's,[25],/wiki/The_Bells_of_St._Mary%27s,False,,
84,1945 (18th),Gene Kelly,Joseph Brady,Anchors Aweigh,[25],/wiki/Anchors_Aweigh_(film),False,,
85,1945 (18th),Gregory Peck,Father Francis,The Keys of the Kingdom,[25],/wiki/The_Keys_of_the_Kingdom_(film),False,,
86,1945 (18th),Cornel Wilde,Frédéric Chopin,A Song to Remember,[25],/wiki/A_Song_to_Remember,False,,
87,1946 (19th),Fredric March ‡,Platoon Sergeant Al Stephenson,The Best Years of Our Lives,[26],/wiki/The_Best_Years_of_Our_Lives,True,,
88,1946 (19th),Laurence Olivier,King Henry V of England,Henry V,[26],/wiki/Henry_V_(1944_film),False,,
89,1946 (19th),Larry Parks,Al Jolson,The Jolson Story,[26],/wiki/The_Jolson_Story,False,,
90,1946 (19th),Gregory Peck,"Ezra ""Penny"" Baxter",The Yearling,[26],/wiki/The_Yearling_(1946_film),False,,
91,1946 (19th),James Stewart,George Bailey,It's a Wonderful Life,[26],/wiki/It%27s_a_Wonderful_Life,False,,
92,1947 (20th),Ronald Colman ‡,Anthony John,A Double Life,[27],/wiki/A_Double_Life_(1947_film),True,,
93,1947 (20th),John Garfield,Charlie Davis,Body and Soul,[27],/wiki/Body_and_Soul_(1947_film),False,,
94,1947 (20th),Gregory Peck,Philip Schuyler Green,Gentleman's Agreement,[27],/wiki/Gentleman%27s_Agreement,False,,
95,1947 (20th),William Powell,Clarence Day Sr.,Life with Father,[27],/wiki/Life_with_Father_(film),False,,
96,1947 (20th),Michael Redgrave,Orin Mannon,Mourning Becomes Electra,[27],/wiki/Mourning_Becomes_Electra_(film),False,,
97,1948 (21st),Laurence Olivier ‡,"Hamlet, Prince of Denmark",Hamlet,[28],/wiki/Hamlet_(1948_film),True,,
98,1948 (21st),Lew Ayres,Dr. Robert Richardson,Johnny Belinda,[28],/wiki/Johnny_Belinda_(1948_film),False,,
99,1948 (21st),Montgomery Clift,"Ralph ""Steve"" Stevenson",The Search,[28],/wiki/The_Search,False,,
100,1948 (21st),Dan Dailey,"""Skid"" Johnson",When My Baby Smiles at Me,[28],/wiki/When_My_Baby_Smiles_at_Me_(film),False,,
101,1948 (21st),Clifton Webb,Lynn Aloysius Belvedere,Sitting Pretty,[28],/wiki/Sitting_Pretty_(1948_film),False,,
102,1949 (22nd),Broderick Crawford ‡,Willie Stark,All the King's Men,[29],/wiki/All_the_King%27s_Men_(1949_film),True,,
103,1949 (22nd),Kirk Douglas,"Michael ""Midge"" Kelly",Champion,[29],/wiki/Champion_(1949_film),False,,
104,1949 (22nd),Gregory Peck,Brig. General Frank Savage,Twelve O'Clock High,[29],/wiki/Twelve_O%27Clock_High,False,,
105,1949 (22nd),Richard Todd,"Cpl. Lachlan ""Lachie"" MacLachlan",The Hasty Heart,[29],/wiki/The_Hasty_Heart,False,,
106,1949 (22nd),John Wayne,Sergeant John M. Stryker,Sands of Iwo Jima,[29],/wiki/Sands_of_Iwo_Jima,False,,
107,1950 (23rd),José Ferrer ‡,Cyrano de Bergerac,Cyrano de Bergerac,[30],/wiki/Cyrano_de_Bergerac,True,,
108,1950 (23rd),Louis Calhern,Oliver Wendell Holmes Jr.,The Magnificent Yankee,[30],/wiki/The_Magnificent_Yankee_(1950_film),False,,
109,1950 (23rd),William Holden,Joe Gillis,Sunset Boulevard,[30],/wiki/Sunset_Boulevard_(film),False,,
110,1950 (23rd),James Stewart,Elwood P. Dowd,Harvey,[30],/wiki/Harvey_(1950_film),False,,
111,1950 (23rd),Spencer Tracy,Stanley T. Banks,Father of the Bride,[30],/wiki/Father_of_the_Bride_(1950_film),False,,
112,1951 (24th),Humphrey Bogart ‡,Charlie Allnut,The African Queen,[31],/wiki/The_African_Queen_(film),True,,
113,1951 (24th),Marlon Brando,Stanley Kowalski,A Streetcar Named Desire,[31],/wiki/A_Streetcar_Named_Desire_(1951_film),False,,
114,1951 (24th),Montgomery Clift,George Eastman,A Place in the Sun,[31],/wiki/A_Place_in_the_Sun_(1951_film),False,,
115,1951 (24th),Arthur Kennedy,Larry Nevins,Bright Victory,[31],/wiki/Bright_Victory,False,,
116,1951 (24th),Fredric March,Willy Loman,Death of a Salesman,[31],/wiki/Death_of_a_Salesman_(1951_film),False,,
117,1952 (25th),Gary Cooper ‡,Marshal Will Kane,High Noon,[32],/wiki/High_Noon,True,,
118,1952 (25th),Marlon Brando,Emiliano Zapata,Viva Zapata!,[32],/wiki/Viva_Zapata!,False,,
119,1952 (25th),Kirk Douglas,Jonathan Shields,The Bad and the Beautiful,[32],/wiki/The_Bad_and_the_Beautiful,False,,
120,1952 (25th),José Ferrer,Henri de Toulouse-Lautrec & Comte Alphonse de Toulouse-Lautrec,Moulin Rouge,[32],/wiki/Moulin_Rouge_(1952_film),False,,
121,1952 (25th),Alec Guinness,Henry Holland,The Lavender Hill Mob,[32],/wiki/The_Lavender_Hill_Mob,False,,
122,1953 (26th),William Holden ‡,Sgt. J.J. Sefton,Stalag 17,[33],/wiki/Stalag_17,True,,
123,1953 (26th),Marlon Brando,Mark Antony,Julius Caesar,[33],/wiki/William_Shakespeare%27s_Julius_Caesar,False,,
124,1953 (26th),Richard Burton,Marcellus Gallio,The Robe,[33],/wiki/The_Robe_(film),False,,
125,1953 (26th),Montgomery Clift,"Pvt. Robert E. Lee ""Prew"" Prewitt",From Here to Eternity,[33],/wiki/From_Here_to_Eternity,False,,
126,1953 (26th),Burt Lancaster,1st Sgt. Milton Warden,From Here to Eternity,[33],/wiki/From_Here_to_Eternity,False,,
127,1954 (27th),Marlon Brando ‡,Terry Malloy,On the Waterfront,[34],/wiki/On_the_Waterfront,True,,
128,1954 (27th),Humphrey Bogart,Lt. Cmdr. Philip Francis Queeg,The Caine Mutiny,[34],/wiki/The_Caine_Mutiny_(film),False,,
129,1954 (27th),Bing Crosby,Frank Elgin,The Country Girl,[34],/wiki/The_Country_Girl_(1954_film),False,,
130,1954 (27th),James Mason,Norman Maine,A Star Is Born,[34],/wiki/A_Star_Is_Born_(1954_film),False,,
131,1954 (27th),Dan O'Herlihy,Robinson Crusoe,Robinson Crusoe,[34],/wiki/Robinson_Crusoe_(1954_film),False,,
132,1955 (28th),Ernest Borgnine ‡,Marty Piletti,Marty,[35],/wiki/Marty_(film),True,,
133,1955 (28th),James Cagney,Martin Snyder,Love Me or Leave Me,[35],/wiki/Love_Me_or_Leave_Me_(film),False,,
134,1955 (28th),James Dean †,Cal Trask,East of Eden,[35],/wiki/East_of_Eden_(film),False,,
135,1955 (28th),Frank Sinatra,Frankie Machine,The Man with the Golden Arm,[35],/wiki/The_Man_with_the_Golden_Arm,False,,
136,1955 (28th),Spencer Tracy,John J. Macreedy,Bad Day at Black Rock,[35],/wiki/Bad_Day_at_Black_Rock,False,,
137,1956 (29th),Yul Brynner ‡,King Mongkut of Siam,The King and I,[36],/wiki/The_King_and_I_(1956_film),True,,
138,1956 (29th),James Dean †,Jett Rink,Giant,[36],/wiki/Giant_(1956_film),False,,
139,1956 (29th),Kirk Douglas,Vincent van Gogh,Lust for Life,[36],/wiki/Lust_for_Life_(1956_film),False,,
140,1956 (29th),Rock Hudson,"Jordan ""Bick"" Benedict Jr.",Giant,[36],/wiki/Giant_(1956_film),False,,
141,1956 (29th),Laurence Olivier,King Richard III,Richard III,[36],/wiki/Richard_III_(1955_film),False,,
142,1957 (30th),Alec Guinness ‡,Colonel Nicholson,The Bridge on the River Kwai,[37],/wiki/The_Bridge_on_the_River_Kwai,True,,
143,1957 (30th),Marlon Brando,"Major Lloyd ""Ace"" Gruver, USAF",Sayonara,[37],/wiki/Sayonara,False,,
144,1957 (30th),Anthony Franciosa,Polo Pope,A Hatful of Rain,[37],/wiki/A_Hatful_of_Rain,False,,
145,1957 (30th),Charles Laughton,Sir Wilfrid Robarts,Witness for the Prosecution,[37],/wiki/Witness_for_the_Prosecution_(1957_film),False,,
146,1957 (30th),Anthony Quinn,Gino,Wild Is the Wind,[37],/wiki/Wild_Is_the_Wind,False,,
147,1958 (31st),David Niven ‡,Major Angus Pollock,Separate Tables,[38],/wiki/Separate_Tables_(film),True,,
148,1958 (31st),Tony Curtis,"John ""Joker"" Jackson",The Defiant Ones,[38],/wiki/The_Defiant_Ones,False,,
149,1958 (31st),Paul Newman,Brick Pollitt,Cat on a Hot Tin Roof,[38],/wiki/Cat_on_a_Hot_Tin_Roof_(1958_film),False,,
150,1958 (31st),Sidney Poitier,Noah Cullen,The Defiant Ones,[38],/wiki/The_Defiant_Ones,False,,
151,1958 (31st),Spencer Tracy,The Old Man,The Old Man and the Sea,[38],/wiki/The_Old_Man_and_the_Sea_(1958_film),False,,
152,1959 (32nd),Charlton Heston ‡,Judah Ben-Hur,Ben-Hur,[39],/wiki/Ben-Hur_(1959_film),True,,
153,1959 (32nd),Laurence Harvey,Joe Lampton,Room at the Top,[39],/wiki/Room_at_the_Top_(1959_film),False,,
154,1959 (32nd),Jack Lemmon,Jerry / Daphne,Some Like It Hot,[39],/wiki/Some_Like_It_Hot,False,,
155,1959 (32nd),Paul Muni,Dr. Sam Abelman,The Last Angry Man,[39],/wiki/The_Last_Angry_Man,False,,
156,1959 (32nd),James Stewart,Paul Biegler,Anatomy of a Murder,[39],/wiki/Anatomy_of_a_Murder,False,,
157,1960 (33rd),Burt Lancaster ‡,Elmer Gantry,Elmer Gantry,[40],/wiki/Elmer_Gantry_(film),True,,
158,1960 (33rd),Trevor Howard,Walter Morel,Sons and Lovers,[40],/wiki/Sons_and_Lovers_(film),False,,
159,1960 (33rd),Jack Lemmon,"C. C. ""Bud"" Baxter",The Apartment,[40],/wiki/The_Apartment,False,,
160,1960 (33rd),Laurence Olivier,Archie Rice,The Entertainer,[40],/wiki/The_Entertainer_(film),False,,
161,1960 (33rd),Spencer Tracy,Henry Drummond,Inherit the Wind,[40],/wiki/Inherit_the_Wind_(1960_film),False,,
162,1961 (34th),Maximilian Schell ‡,Hans Rolfe,Judgment at Nuremberg,[41],/wiki/Judgment_at_Nuremberg,True,,
163,1961 (34th),Charles Boyer,Cesar,Fanny,[41],/wiki/Fanny_(1961_film),False,,
164,1961 (34th),Paul Newman,"""Fast"" Eddie Felson",The Hustler,[41],/wiki/The_Hustler,False,,
165,1961 (34th),Spencer Tracy,Chief Judge Dan Haywood,Judgment at Nuremberg,[41],/wiki/Judgment_at_Nuremberg,True,,
166,1961 (34th),Stuart Whitman,Jim Fuller,The Mark,[41],/wiki/The_Mark_(1961_film),False,,
167,1962 (35th),Gregory Peck ‡,Atticus Finch,To Kill a Mockingbird,[42],/wiki/To_Kill_a_Mockingbird_(film),True,,
168,1962 (35th),Burt Lancaster,Robert Stroud,Birdman of Alcatraz,[42],/wiki/Birdman_of_Alcatraz_(film),False,,
169,1962 (35th),Jack Lemmon,Joe Clay,Days of Wine and Roses,[42],/wiki/Days_of_Wine_and_Roses_(film),False,,
170,1962 (35th),Marcello Mastroianni,Ferdinando Cefalù,Divorce Italian Style,[42],/wiki/Divorce_Italian_Style,False,,
171,1962 (35th),Peter O'Toole,Thomas Edward Lawrence,Lawrence of Arabia,[42],/wiki/Lawrence_of_Arabia_(film),False,,
172,1963 (36th),Sidney Poitier ‡,Homer Smith,Lilies of the Field,[43],/wiki/Lilies_of_the_Field_(1963_film),True,,
173,1963 (36th),Albert Finney,Tom Jones,Tom Jones,[43],/wiki/Tom_Jones_(1963_film),False,,
174,1963 (36th),Richard Harris,Frank Machin,This Sporting Life,[43],/wiki/This_Sporting_Life,False,,
175,1963 (36th),Rex Harrison,Julius Caesar,Cleopatra,[43],/wiki/Cleopatra_(1963_film),False,,
176,1963 (36th),Paul Newman,Hud Bannon,Hud,[43],/wiki/Hud_(1963_film),False,,
177,1964 (37th),Rex Harrison ‡,Professor Henry Higgins,My Fair Lady,[44],/wiki/My_Fair_Lady_(film),True,,
178,1964 (37th),Richard Burton,Thomas Becket,Becket,[44],/wiki/Becket_(1964_film),False,,
179,1964 (37th),Peter O'Toole,King Henry II,Becket,[44],/wiki/Becket_(1964_film),False,,
180,1964 (37th),Anthony Quinn,Alexis Zorba,Zorba the Greek,[44],/wiki/Zorba_the_Greek_(film),False,,
181,1964 (37th),Peter Sellers,"Group Captain Lionel Mandrake, President Merkin Muffley, and Dr. Strangelove","Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb",[44],/wiki/Dr._Strangelove,False,,
182,1965 (38th),Lee Marvin ‡,Kid Shelleen & Tim Strawn,Cat Ballou,[45],/wiki/Cat_Ballou,True,,
183,1965 (38th),Richard Burton,Alec Leamas,The Spy Who Came in from the Cold,[45],/wiki/The_Spy_Who_Came_In_from_the_Cold_(film),False,,
184,1965 (38th),Laurence Olivier,Othello,Othello,[45],/wiki/Othello_(character),False,,
185,1965 (38th),Rod Steiger,Sol Nazerman,The Pawnbroker,[45],/wiki/The_Pawnbroker_(film),False,,
186,1965 (38th),Oskar Werner,Willie Schumann,Ship of Fools,[45],/wiki/Ship_of_Fools_(film),False,,
187,1966 (39th),Paul Scofield ‡,Sir Thomas More,A Man for All Seasons,[46],/wiki/A_Man_for_All_Seasons_(1966_film),True,,
188,1966 (39th),Alan Arkin,Lt. Rozanov,"The Russians Are Coming, the Russians Are Coming",[46],"/wiki/The_Russians_Are_Coming,_the_Russians_Are_Coming",False,,
189,1966 (39th),Richard Burton,George,Who's Afraid of Virginia Woolf?,[46],/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F_(film),False,,
190,1966 (39th),Michael Caine,Alfie Elkins,Alfie,[46],/wiki/Alfie_(1966_film),False,,
191,1966 (39th),Steve McQueen,Jake Holman,The Sand Pebbles,[46],/wiki/The_Sand_Pebbles_(film),False,,
192,1967 (40th),Rod Steiger ‡,Bill Gillespie,In the Heat of the Night,[47],/wiki/In_the_Heat_of_the_Night_(film),True,,
193,1967 (40th),Warren Beatty,Clyde Barrow,Bonnie and Clyde,[47],/wiki/Bonnie_and_Clyde_(film),False,,
194,1967 (40th),Dustin Hoffman,Benjamin Braddock,The Graduate,[47],/wiki/The_Graduate,False,,
195,1967 (40th),Paul Newman,"Lucas ""Luke"" Jackson",Cool Hand Luke,[47],/wiki/Cool_Hand_Luke,False,,
