,Year,Film,Nominees,FilmLink,Won
165,2021 (94th) [12],Coming 2 America,"Mike Marino, Stacey Morris, and Carla Farmer",/wiki/Coming_2_America,False
166,2021 (94th) [12],Cruella,"Nadia Stacey, Naomi Donne, and Julia Vernon",/wiki/Cruella_(film),False
167,2021 (94th) [12],Dune,"Donald Mowat, Love Larson, and Eva von Bahr",/wiki/Dune_(2021_film),False
168,2021 (94th) [12],House of Gucci,"Göran Lundström, Anna Carin Lock, and Frederic Aspiras",/wiki/House_of_Gucci,False
169,2022 (95th) [13],,,,False
170,2022 (95th) [13],The Whale,"Adrien Morot, Judy Chin and Annemarie Bradley",/wiki/The_Whale_(2022_film),True
171,2022 (95th) [13],All Quiet on the Western Front,Heike Merker and Linda Eisenhamerová,/wiki/All_Quiet_on_the_Western_Front_(2022_film),False
172,2022 (95th) [13],The Batman,"Naomi Donne, Mike Marino and Mike Fontaine",/wiki/The_Batman_(film),False
173,2022 (95th) [13],Black Panther: Wakanda Forever,Camille Friend and Joel Harlow,/wiki/Black_Panther:_Wakanda_Forever,False
174,2022 (95th) [13],Elvis,"Mark Coulier, Jason Baird and Aldo Signoretti",/wiki/Elvis_(2022_film),False
175,2023 (96th) [14],,,,False
176,2023 (96th) [14],Golda,"Karen Hartley Thomas, Suzi Battersby and Ashra Kelly-Blue",/wiki/Golda_(film),False
177,2023 (96th) [14],Maestro,"Kazu Hiro, Kay Georgiou and Lori McCoy-Bell",/wiki/Maestro_(2023_film),False
178,2023 (96th) [14],Oppenheimer,Luisa Abel,/wiki/Oppenheimer_(film),False
179,2023 (96th) [14],Poor Things,"Nadia Stacey, Mark Coulier and Josh Weston",/wiki/Poor_Things_(film),False
180,2023 (96th) [14],Society of the Snow,"Ana López-Puigcerver, David Martí and Montse Ribé",/wiki/Society_of_the_Snow,False
