,Year,Film,Nominees,FilmLink,Won
398,2013 (86th),Prison Terminal: The Last Days of Private Jack Hall,Edgar Barens,/wiki/Prison_Terminal:_The_Last_Days_of_Private_Jack_Hall,False
399,2014 (87th),,,,False
400,2014 (87th),Crisis Hotline: Veterans Press 1,Ellen Goosenberg Kent and Dana Perry,/wiki/Crisis_Hotline:_Veterans_Press_1,True
401,2014 (87th),Joanna,Aneta Kopacz,/wiki/Joanna_(2013_film),False
402,2014 (87th),Our Curse,Tomasz Śliwiński and Maciej Ślesicki,/wiki/Our_Curse,False
403,2014 (87th),The Reaper (La Parka),Gabriel Serra Arguello,/wiki/The_Reaper_(2013_film),False
404,2014 (87th),White Earth,J. Christian Jensen,/wiki/White_Earth_(film),False
405,2015 (88th),,,,False
406,2015 (88th),A Girl in the River: The Price of Forgiveness,Sharmeen Obaid-Chinoy,/wiki/A_Girl_in_the_River:_The_Price_of_Forgiveness,True
407,2015 (88th),Body Team 12,David Darg and Bryn Mooser,/wiki/Body_Team_12,False
408,2015 (88th),"Chau, Beyond the Lines",Courtney Marsh and Jerry Franck,"/wiki/Chau,_Beyond_the_Lines",False
409,2015 (88th),Claude Lanzmann: Spectres of the Shoah,Adam Benzine,/wiki/Claude_Lanzmann:_Spectres_of_the_Shoah,False
410,2015 (88th),Last Day of Freedom,Dee Hibbert-Jones and Nomi Talisman,/wiki/Last_Day_of_Freedom,False
411,2016 (89th) [7],,,,False
412,2016 (89th) [7],The White Helmets,Orlando von Einsiedel and Joanna Natasegara,/wiki/The_White_Helmets_(film),True
413,2016 (89th) [7],Extremis,Dan Krauss,/wiki/Extremis_(film),False
414,2016 (89th) [7],4.1 Miles,Daphne Matziaraki,/wiki/4.1_Miles,False
415,2016 (89th) [7],Joe's Violin,Kahane Cooperman and Raphaela Neihausen,/wiki/Joe%27s_Violin,False
416,2016 (89th) [7],Watani: My Homeland,Marcel Mettelsiefen and Stephen Ellis,/wiki/Watani:_My_Homeland,False
417,2017 (90th) [8],,,,False
418,2017 (90th) [8],Heaven Is a Traffic Jam on the 405,Frank Stiefel,/wiki/Heaven_Is_a_Traffic_Jam_on_the_405,True
419,2017 (90th) [8],Edith+Eddie,Laura Checkoway and Thomas Lee Wright,/wiki/Edith%2BEddie,False
420,2017 (90th) [8],Heroin(e),Elaine McMillion Sheldon and Kerrin Sheldon,/wiki/Heroin(e),False
421,2017 (90th) [8],Knife Skills,Thomas Lennon,/wiki/Knife_Skills,False
