,Year,Film,Nominees,Source Material,FilmLink,Won,Record,Writer,Age,Ref.
104,1949 (22nd),Champion,Carl Foreman,The short story by Ring Lardner,/wiki/Champion_(1949_film),False,,,,
105,1949 (22nd),The Fallen Idol,Graham Greene,"The short story ""The Basement Room"" by Greene",/wiki/The_Fallen_Idol_(film),False,,,,
106,1950 (23rd),All About Eve,Joseph L. Mankiewicz,"The short story ""The Wisdom of Eve"" by Mary Orr",/wiki/All_About_Eve,True,,,,
107,1950 (23rd),The Asphalt Jungle,John Huston & Ben Maddow,The novel by W. R. Burnett,/wiki/The_Asphalt_Jungle,False,,,,
108,1950 (23rd),Born Yesterday,Albert Mannheimer,The play by Garson Kanin,/wiki/Born_Yesterday_(1950_film),False,,,,
109,1950 (23rd),Broken Arrow,Albert Maltz[note 10],The novel Blood Brother by Elliott Arnold,/wiki/Broken_Arrow_(1950_film),False,,,,
110,1950 (23rd),Father of the Bride,Frances Goodrich & Albert Hackett,The novel by E. Streeter,/wiki/Father_of_the_Bride_(1950_film),False,,,,
111,1951 (24th),A Place in the Sun,Harry Brown & Michael Wilson,The novel An American Tragedy by Theodore Dreiser & play by Patrick Kearney,/wiki/A_Place_in_the_Sun_(1951_film),True,,,,
112,1951 (24th),The African Queen,James Agee & John Huston,The novel by C. S. Forester,/wiki/The_African_Queen_(film),False,,,,
113,1951 (24th),Detective Story,Robert Wyler & Philip Yordan,The play by Sidney Kingsley,/wiki/Detective_Story_(1951_film),False,,,,
114,1951 (24th),La Ronde,Jacques Natanson & Max Ophüls,The play by Arthur Schnitzler,/wiki/La_Ronde_(1950_film),False,,,,
115,1951 (24th),A Streetcar Named Desire,Tennessee Williams,The play by Williams,/wiki/A_Streetcar_Named_Desire_(1951_film),False,,,,
116,1952 (25th),The Bad and the Beautiful,Charles Schnee,A story by George Bradshaw,/wiki/The_Bad_and_the_Beautiful,True,,,,
117,1952 (25th),5 Fingers,Michael Wilson,The novel Operation Cicero by Ludwig Carl Moyzisch,/wiki/5_Fingers,False,,,,
118,1952 (25th),High Noon,Carl Foreman,"The short story ""The Tin Star"" by John W. Cunningham",/wiki/High_Noon,False,,,,
119,1952 (25th),The Man in the White Suit,"John Dighton, Alexander Mackendrick & Roger MacDougall",A story by MacDougall,/wiki/The_Man_in_the_White_Suit,False,,,,
120,1952 (25th),The Quiet Man,Frank Nugent,The short story by Maurice Walsh,/wiki/The_Quiet_Man,False,,,,
