,Year,Film,Nominees,Source Material,FilmLink,Won,Record,Writer,Age,Ref.
416,2012 (85th),Argo,Chris Terrio,"The memoir The Master of Disguise by Tony Mendez & article ""The Great Escape: How the CIA Used a Fake Sci-Fi Flick to Rescue Americans from Tehran"" by Joshuah Bearman",/wiki/Argo_(2012_film),True,,,,
417,2012 (85th),Beasts of the Southern Wild,Lucy Alibar & Benh Zeitlin,The play Juicy and Delicious by Alibar,/wiki/Beasts_of_the_Southern_Wild,False,,,,
418,2012 (85th),Life of Pi,David Magee,The novel by Yann Martel,/wiki/Life_of_Pi_(film),False,,,,
419,2012 (85th),Lincoln,Tony Kushner,The book Team of Rivals: The Political Genius of Abraham Lincoln by Doris Kearns Goodwin,/wiki/Lincoln_(film),False,,,,
420,2012 (85th),Silver Linings Playbook,David O. Russell,The novel by Matthew Quick,/wiki/Silver_Linings_Playbook,False,,,,
421,2013 (86th),12 Years a Slave,John Ridley,The memoir by Solomon Northup,/wiki/12_Years_a_Slave_(film),True,,,,
422,2013 (86th),Before Midnight,"Julie Delpy, Ethan Hawke & Richard Linklater",Characters from the film Before Sunrise by Kim Krizan & Linklater,/wiki/Before_Midnight_(2013_film),False,,,,
423,2013 (86th),Captain Phillips,Billy Ray,"The memoir A Captain's Duty: Somali Pirates, Navy SEALs, and Dangerous Days at Sea by Richard Phillips & Stephan Talty",/wiki/Captain_Phillips_(film),False,,,,
424,2013 (86th),Philomena,Steve Coogan & Jeff Pope,The book The Lost Child of Philomena Lee by Martin Sixsmith,/wiki/Philomena_(film),False,,,,
425,2013 (86th),The Wolf of Wall Street,Terence Winter,The memoir by Jordan Belfort,/wiki/The_Wolf_of_Wall_Street_(2013_film),False,,,,
426,2014 (87th),The Imitation Game,Graham Moore,The book Alan Turing: The Enigma by Andrew Hodges,/wiki/The_Imitation_Game,True,,,,
427,2014 (87th),American Sniper,Jason Hall,"The memoir American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History by Jim DeFelice, Chris Kyle & Scott McEwan",/wiki/American_Sniper,False,,,,
428,2014 (87th),Inherent Vice,Paul Thomas Anderson,The novel by Thomas Pynchon,/wiki/Inherent_Vice_(film),False,,,,
429,2014 (87th),The Theory of Everything,Anthony McCarten,The memoir Travelling to Infinity: My Life with Stephen by Jane Hawking,/wiki/The_Theory_of_Everything_(2014_film),False,,,,
430,2014 (87th),Whiplash,Damien Chazelle,The short film by Chazelle,/wiki/Whiplash_(2014_film),False,,,,
431,2015 (88th),The Big Short,Charles Randolph & Adam McKay,The book The Big Short: Inside the Doomsday Machine by Michael Lewis,/wiki/The_Big_Short_(film),True,,,,
432,2015 (88th),Brooklyn,Nick Hornby,The novel by Colm Tóibín,/wiki/Brooklyn_(film),False,,,,
433,2015 (88th),Carol,Phyllis Nagy,The novel The Price of Salt by Patricia Highsmith,/wiki/Carol_(film),False,,,,
434,2015 (88th),The Martian,Drew Goddard,The novel by Andy Weir,/wiki/The_Martian_(film),False,,,,
435,2015 (88th),Room,Emma Donoghue,The novel by Donoghue,/wiki/Room_(2015_film),False,,,,
436,2016 (89th) [12],Moonlight,Screenplay: Barry Jenkins; Story: Tarell Alvin McCraney,The unpublished play In Moonlight Black Boys Look Blue by McCraney,/wiki/Moonlight_(2016_film),True,,,,
437,2016 (89th) [12],Arrival,Eric Heisserer,"The novella ""Story of Your Life"" by Ted Chiang",/wiki/Arrival_(film),False,,,,
438,2016 (89th) [12],Fences,August Wilson (p.n.),The play by Wilson,/wiki/Fences_(film),False,,,,
439,2016 (89th) [12],Hidden Figures,Theodore Melfi & Allison Schroeder,The book Hidden Figures: The American Dream and the Untold Story of the Black Women Who Helped Win the Space Race by Margot Lee Shetterly,/wiki/Hidden_Figures,False,,,,
440,2016 (89th) [12],Lion,Luke Davies,The memoir A Long Way Home by Saroo Brierley & Larry Buttrose,/wiki/Lion_(2016_film),False,,,,
441,2017 (90th) [13],Call Me by Your Name,James Ivory,The novel by André Aciman,/wiki/Call_Me_by_Your_Name_(film),True,,,,
442,2017 (90th) [13],The Disaster Artist,Scott Neustadter & Michael H. Weber,"The memoir The Disaster Artist: My Life Inside The Room, the Greatest Bad Movie Ever Made by Greg Sestero & Tom Bissell",/wiki/The_Disaster_Artist_(film),False,,,,
443,2017 (90th) [13],Logan,"Screenplay: Scott Frank, Michael Green & James Mangold; Story: Mangold",The character Wolverine from the comic books by John Romita Sr. & Len Wein,/wiki/Logan_(film),False,,,,
444,2017 (90th) [13],Molly's Game,Aaron Sorkin,The memoir by Molly Bloom,/wiki/Molly%27s_Game,False,,,,
445,2017 (90th) [13],Mudbound,Dee Rees & Virgil Williams,The novel by Hillary Jordan,/wiki/Mudbound_(film),False,,,,
446,2018 (91st) [14],BlacKkKlansman,"Spike Lee, David Rabinowitz, Charlie Wachtel & Kevin Willmott",The memoir Black Klansman by Ron Stallworth,/wiki/BlacKkKlansman,True,,,,
447,2018 (91st) [14],The Ballad of Buster Scruggs,Coen Brothers,"The short stories ""All Gold Canyon"" by Jack London & ""The Gal Who Got Rattled"" by Stewart Edward White",/wiki/The_Ballad_of_Buster_Scruggs,False,,,,
448,2018 (91st) [14],Can You Ever Forgive Me?,Nicole Holofcener & Jeff Whitty,The memoir by Lee Israel,/wiki/Can_You_Ever_Forgive_Me%3F,False,,,,
449,2018 (91st) [14],If Beale Street Could Talk,Barry Jenkins,The novel by James Baldwin,/wiki/If_Beale_Street_Could_Talk_(film),False,,,,
450,2018 (91st) [14],A Star Is Born,"Bradley Cooper, Will Fetters & Eric Roth","The 1954 film by Moss Hart, 1976 film by Joan Didion, John Gregory Dunne & Frank Pierson & 1937 film by Robert Carson & William A. Wellman",/wiki/A_Star_Is_Born_(2018_film),False,,,,
451,2019 (92nd) [15],Jojo Rabbit,Taika Waititi,The novel Caging Skies by Christine Leunens,/wiki/Jojo_Rabbit,True,,,,
452,2019 (92nd) [15],The Irishman,Steven Zaillian,"The memoir I Heard You Paint Houses: Frank ""The Irishman"" Sheeran and Closing the Case on Jimmy Hoffa by Charles Brandt",/wiki/The_Irishman,False,,,,
453,2019 (92nd) [15],Joker,Todd Phillips & Scott Silver,"The character from the comic books by Bill Finger, Bob Kane & Jerry Robinson",/wiki/Joker_(2019_film),False,,,,
454,2019 (92nd) [15],Little Women,Greta Gerwig,The novel by Louisa May Alcott,/wiki/Little_Women_(2019_film),False,,,,
455,2019 (92nd) [15],The Two Popes,Anthony McCarten,The play The Pope by McCarten,/wiki/The_Two_Popes,False,,,,
456,2020/21 (93rd) [16],The Father,Christopher Hampton & Florian Zeller,The play by Zeller,/wiki/The_Father_(2020_film),True,,,,
457,2020/21 (93rd) [16],Borat Subsequent Moviefilm,"Screenplay: Sacha Baron Cohen, Peter Baynham, Jena Friedman, Anthony Hines, Lee Kern, Dan Mazer, Erica Rivinoja & Dan Swimer; Story: Baron Cohen, Hines, Nina Pedrad & Swimer",The character Borat Sagdiyev from the television series Da Ali G Show by Baron Cohen,/wiki/Borat_Subsequent_Moviefilm,False,,,,
458,2020/21 (93rd) [16],Nomadland,Chloé Zhao,The book Nomadland: Surviving America in the Twenty-First Century by Jessica Bruder,/wiki/Nomadland,False,,,,
459,2020/21 (93rd) [16],One Night in Miami...,Kemp Powers,The play by Powers,/wiki/One_Night_in_Miami...,False,,,,
460,2020/21 (93rd) [16],The White Tiger,Ramin Bahrani,The novel by Arvind Adiga,/wiki/The_White_Tiger_(2021_film),False,,,,
461,2021 (94th) [17],CODA,Sian Heder,"The film La Famille Bélier by Victoria Bedos, Thomas Bidegain, Stanislas Carré de Malberg & Éric Lartigau",/wiki/CODA_(2021_film),True,,,,
462,2021 (94th) [17],Drive My Car,Ryusuke Hamaguchi & Takamasa Oe,The short story by Haruki Murakami,/wiki/Drive_My_Car_(film),False,,,,
463,2021 (94th) [17],Dune,"Eric Roth, Jon Spaihts & Denis Villeneuve",The novel by Frank Herbert,/wiki/Dune_(2021_film),False,,,,
464,2021 (94th) [17],The Lost Daughter,Maggie Gyllenhaal,The novel by Elena Ferrante,/wiki/The_Lost_Daughter_(film),False,,,,
465,2021 (94th) [17],The Power of the Dog,Jane Campion,The novel by Thomas Savage,/wiki/The_Power_of_the_Dog_(film),False,,,,
466,2022 (95th),Women Talking,Sarah Polley,The novel by Miriam Toews,/wiki/Women_Talking_(film),True,,,,
467,2022 (95th),All Quiet on the Western Front,"Edward Berger, Lesley Paterson & Ian Stokell",The novel by Erich Maria Remarque,/wiki/All_Quiet_on_the_Western_Front_(2022_film),False,,,,
468,2022 (95th),Glass Onion: A Knives Out Mystery,Rian Johnson,The character Benoit Blanc from the film Knives Out by Johnson,/wiki/Glass_Onion:_A_Knives_Out_Mystery,False,,,,
469,2022 (95th),Living,Kazuo Ishiguro,"The film Ikiru by Shinobu Hashimoto, Akira Kurosawa & Hideo Oguni",/wiki/Living_(2022_film),False,,,,
470,2022 (95th),Top Gun: Maverick,"Screenplay: Ehren Kruger, Christopher McQuarrie & Eric Warren Singer; Story: Peter Craig & Justin Marks",Characters from the film Top Gun by Jim Cash & Jack Epps Jr.,/wiki/Top_Gun:_Maverick,False,,,,
471,2023 (96th),American Fiction,Cord Jefferson,The novel Erasure by Percival Everett,/wiki/American_Fiction_(film),False,,,,
472,2023 (96th),Barbie,Noah Baumbach & Greta Gerwig,The characters created by Ruth Handler,/wiki/Barbie_(film),False,,,,
473,2023 (96th),Oppenheimer,Christopher Nolan,The book American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer by Kai Bird & Martin J. Sherwin,/wiki/Oppenheimer_(film),False,,,,
474,2023 (96th),Poor Things,Tony McNamara,"The novel Poor Things: Episodes from the Early Life of Archibald McCandless M.D., Scottish Public Health Officer by Alisdair Gray",/wiki/Poor_Things_(film),False,,,,
475,2023 (96th),The Zone of Interest,Jonathan Glazer,The novel by Martin Amis,/wiki/The_Zone_of_Interest_(film),False,,,,
476,,Call Me by Your Name,,,/wiki/Call_Me_by_Your_Name_(film),False,Oldest winner,James Ivory,89.0,[18]
477,,Call Me by Your Name,,,/wiki/Call_Me_by_Your_Name_(film),False,Oldest nominee,James Ivory,89.0,[19]
478,,BlacKkKlansman,,,/wiki/BlacKkKlansman,False,Youngest winner,Charlie Wachtel,32.0,[20]
479,,Skippy,,,/wiki/Skippy_(film),False,Youngest nominee,Joseph L. Mankiewicz,22.0,
